,matched_words,match_distance,words_frequency,time_sec
a,,,,9.079005241394043
an,,,,9.079005241394043
and,,,,9.079005241394043
apple,"{'appel', 'appell'}","{0.0, 3.4251, 5.3305}","[4949.0, 4949.0]",9.079005241394043
banana,"{'anhydrous', 'three-month', 'nana'}","{7.6065, 5.6122, 7.2885}","[4949.0, 181.0, 26.0]",9.079005241394043
don't,,,,9.079005241394043
error,"{'r', 'formed'}","{6.3691, 6.4512}","[3.0, 87.0]",9.079005241394043
have,,,,9.079005241394043
hope,,,,9.079005241394043
i,,,,9.079005241394043
if,,,,9.079005241394043
in,,,,9.079005241394043
jerusalem,"{'cruised', 'veljanovski', 'jerusalem'}","{5.5064, 5.1666, 6.5958}","[334.0, 203.0, 27.0]",9.079005241394043
lemon,"{'leone', 'dee', 'lerone'}","{4.8598, 7.4313, 7.172}","[20.0, 212.0, 20.0]",9.079005241394043
london,"{'luncheon', 'london'}","{9.2663, 3.8871, 6.459}","[20.0, 20.0]",9.079005241394043
or,,,,9.079005241394043
pear,"{'parker', 'parameter', 'parameters'}","{3.4475, 4.5089, 4.6056}","[10.0, 10.0, 10.0]",9.079005241394043
please,"{'settles', 'settlers', 'please'}","{5.2724, 4.9487, 5.0393}","[80.0, 80.0, 10.0]",9.079005241394043
possible,"{'pooja', 'pose', 'syndicates'}","{4.692, 5.682, 7.0162}","[10.0, 10.0, 80.0]",9.079005241394043
wanna,"{'wanna', 'mangena', 'hyena'}","{0.0, 5.3061, 7.3082}","[2.0, 332.0, 53.0]",9.079005241394043
watermelon,"{'qara', 'warned'}","{7.632, 7.5992}","[4.0, 2.0]",9.079005241394043
with,,,,9.079005241394043
