,matched_words,match_distance,words_frequency,time_sec
a,,,,13.019016027450562
an,,,,13.019016027450562
and,,,,13.019016027450562
apple,"{'capel', 'appealed'}","{6.1974, 6.3239}","[258.0, 5252.0]",13.019016027450562
banana,"{'banana', 'raanana', 'nana'}","{5.9162, 3.6072, 5.6122}","[760.0, 1.0, 8.0]",13.019016027450562
don't,,,,13.019016027450562
error,{'error'},"{3.784, 4.2706}",[172.0],13.019016027450562
have,,,,13.019016027450562
hope,,,,13.019016027450562
i,,,,13.019016027450562
if,,,,13.019016027450562
in,,,,13.019016027450562
jerusalem,"{'veljanovski', 'jerusalem', 'describes'}","{5.5064, 5.1666, 6.7379}","[148.0, 9.0, 120.0]",13.019016027450562
lemon,"{'leone', 'llwyndyrys', 'lemmon'}","{4.8598, 5.7262, 7.2554}","[4.0, 4.0, 4.0]",13.019016027450562
london,"{'luncheon', 'olof', 'london'}","{8.3013, 9.2663, 3.8871}","[4.0, 3.0, 4.0]",13.019016027450562
or,,,,13.019016027450562
pear,"{'parker', 'parameter', 'parameters'}","{3.4475, 4.5089, 4.6056}","[6.0, 6.0, 6.0]",13.019016027450562
please,"{'settles', 'islanders', ""stallion's""}","{5.1571, 4.9562, 5.0393}","[21.0, 27.0, 21.0]",13.019016027450562
possible,"{'spoiling', 'pose', 'superimposed'}","{7.2001, 6.591, 6.6429}","[21.0, 6.0, 21.0]",13.019016027450562
wanna,,,,13.019016027450562
watermelon,"{'qara', 'rhetoric', 'warned'}","{7.8103, 7.632, 7.5992}","[2.0, 1.0, 0.0]",13.019016027450562
with,,,,13.019016027450562
