,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.1777267456054688,5.8554418087005615
a,,,,3.1777267456054688,5.8554418087005615
an,,,,3.1777267456054688,5.8554418087005615
and,,,,3.1777267456054688,5.8554418087005615
apple,appeal,91,35.0,3.1777267456054688,5.8554418087005615
banana,"{'bannon', 'anna', 'banana'}","{73, 92, 77}",{0.0},3.1777267456054688,5.8554418087005615
don't,,,,3.1777267456054688,5.8554418087005615
error,error,80,6.0,3.1777267456054688,5.8554418087005615
have,,,,3.1777267456054688,5.8554418087005615
hope,,,,3.1777267456054688,5.8554418087005615
i,,,,3.1777267456054688,5.8554418087005615
if,,,,3.1777267456054688,5.8554418087005615
in,,,,3.1777267456054688,5.8554418087005615
jerusalem,"{'jersey', 'jetstream'}",{67},{0.0},3.1777267456054688,5.8554418087005615
lemon,lemon,91,0.0,3.1777267456054688,5.8554418087005615
london,london,92,0.0,3.1777267456054688,5.8554418087005615
or,,,,3.1777267456054688,5.8554418087005615
pear,paper,89,8.0,3.1777267456054688,5.8554418087005615
please,"{'please', 'pleasures'}","{88, 92}","{0.0, 1.0}",3.1777267456054688,5.8554418087005615
possible,possible,93,32.0,3.1777267456054688,5.8554418087005615
wanna,anna,89,0.0,3.1777267456054688,5.8554418087005615
watermelon,"{'wartime', 'watermelon', 'warren'}","{67, 95, 71}",{0.0},3.1777267456054688,5.8554418087005615
with,,,,3.1777267456054688,5.8554418087005615
