,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,2.8280372619628906,4.442190647125244
a,,,,2.8280372619628906,4.442190647125244
an,,,,2.8280372619628906,4.442190647125244
and,,,,2.8280372619628906,4.442190647125244
apple,appeal,91,7.0,2.8280372619628906,4.442190647125244
banana,"{'anna', 'banana'}","{73, 92}","{0.0, 1.0}",2.8280372619628906,4.442190647125244
don't,,,,2.8280372619628906,4.442190647125244
error,error,80,8.0,2.8280372619628906,4.442190647125244
have,,,,2.8280372619628906,4.442190647125244
hope,,,,2.8280372619628906,4.442190647125244
i,,,,2.8280372619628906,4.442190647125244
if,,,,2.8280372619628906,4.442190647125244
in,,,,2.8280372619628906,4.442190647125244
jerusalem,jerusalem,89,0.0,2.8280372619628906,4.442190647125244
lemon,"{'lemon', 'leone'}",{91},{0.0},2.8280372619628906,4.442190647125244
london,london,92,0.0,2.8280372619628906,4.442190647125244
or,,,,2.8280372619628906,4.442190647125244
pear,paper,89,8.0,2.8280372619628906,4.442190647125244
please,please,92,0.0,2.8280372619628906,4.442190647125244
possible,possible,93,23.0,2.8280372619628906,4.442190647125244
wanna,"{'wanna', 'anna'}","{89, 100}",{0.0},2.8280372619628906,4.442190647125244
watermelon,"{'warren', 'weathermen'}","{76, 71}",{0.0},2.8280372619628906,4.442190647125244
with,,,,2.8280372619628906,4.442190647125244
