,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.181483268737793,4.758718490600586
a,,,,3.181483268737793,4.758718490600586
an,,,,3.181483268737793,4.758718490600586
and,,,,3.181483268737793,4.758718490600586
apple,appeal,91,7.0,3.181483268737793,4.758718490600586
banana,"{'bandana', 'nana', 'anna', 'banana'}","{73, 92, 86}","{0.0, 1.0}",3.181483268737793,4.758718490600586
don't,,,,3.181483268737793,4.758718490600586
error,"{'errors', 'error', 'terror'}","{80, 73}","{0.0, 2.0}",3.181483268737793,4.758718490600586
have,,,,3.181483268737793,4.758718490600586
hope,,,,3.181483268737793,4.758718490600586
i,,,,3.181483268737793,4.758718490600586
if,,,,3.181483268737793,4.758718490600586
in,,,,3.181483268737793,4.758718490600586
jerusalem,jerusalem,89,0.0,3.181483268737793,4.758718490600586
lemon,"{'leone', 'leon', 'lone'}","{80, 91}","{0.0, 1.0}",3.181483268737793,4.758718490600586
london,london,92,0.0,3.181483268737793,4.758718490600586
or,,,,3.181483268737793,4.758718490600586
pear,paper,89,8.0,3.181483268737793,4.758718490600586
please,please,92,0.0,3.181483268737793,4.758718490600586
possible,possible,93,44.0,3.181483268737793,4.758718490600586
wanna,"{'wannabe', 'anna'}","{89, 83}","{0.0, 1.0}",3.181483268737793,4.758718490600586
watermelon,"{'waterloo', 'warren'}","{74, 71}",{0.0},3.181483268737793,4.758718490600586
with,,,,3.181483268737793,4.758718490600586
