,matched_words,matched_scores,words_frequency,time_sec
I,,,,0.591202974319458
a,,,,0.591202974319458
an,,,,0.591202974319458
and,,,,0.591202974319458
apple,"{'appell', 'appeal', 'appel'}","{91, 100}","{0, 7}",0.591202974319458
banana,"{'bannon', 'annan', 'bandanas', 'bafana'}","{80, 83, 77}","{0, 1}",0.591202974319458
don't,,,,0.591202974319458
error,error,80,0,0.591202974319458
have,,,,0.591202974319458
hope,,,,0.591202974319458
i,,,,0.591202974319458
if,,,,0.591202974319458
in,,,,0.591202974319458
jerusalem,jerusalem,89,0,0.591202974319458
lemon,"{'leone', 'lemond'}","{91, 83}",{0},0.591202974319458
london,london,92,0,0.591202974319458
or,,,,0.591202974319458
pear,paper,89,9,0.591202974319458
please,please,92,1,0.591202974319458
possible,possible,93,20,0.591202974319458
wanna,"{'wanna', 'anna'}","{89, 100}",{0},0.591202974319458
watermelon,warren,71,0,0.591202974319458
with,,,,0.591202974319458
