,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.4040088653564453,6.208321571350098
a,,,,3.4040088653564453,6.208321571350098
an,,,,3.4040088653564453,6.208321571350098
and,,,,3.4040088653564453,6.208321571350098
apple,appeal,91,18,3.4040088653564453,6.208321571350098
banana,"{'anna', 'tanana', 'hannan'}","{73, 77}",{0},3.4040088653564453,6.208321571350098
don't,,,,3.4040088653564453,6.208321571350098
error,error,80,3,3.4040088653564453,6.208321571350098
have,,,,3.4040088653564453,6.208321571350098
hope,,,,3.4040088653564453,6.208321571350098
i,,,,3.4040088653564453,6.208321571350098
if,,,,3.4040088653564453,6.208321571350098
in,,,,3.4040088653564453,6.208321571350098
jerusalem,jerusalem,89,0,3.4040088653564453,6.208321571350098
lemon,leone,91,0,3.4040088653564453,6.208321571350098
london,london,92,0,3.4040088653564453,6.208321571350098
or,,,,3.4040088653564453,6.208321571350098
pear,paper,89,5,3.4040088653564453,6.208321571350098
please,please,92,1,3.4040088653564453,6.208321571350098
possible,possible,93,33,3.4040088653564453,6.208321571350098
wanna,anna,89,0,3.4040088653564453,6.208321571350098
watermelon,"{'warren', 'waterloo'}","{74, 71}",{0},3.4040088653564453,6.208321571350098
with,,,,3.4040088653564453,6.208321571350098
