,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,2.757357597351074,3.606827735900879
a,,,,2.757357597351074,3.606827735900879
an,,,,2.757357597351074,3.606827735900879
and,,,,2.757357597351074,3.606827735900879
apple,appeal,91,21,2.757357597351074,3.606827735900879
banana,"{'annandale', 'annapurna', 'anna', 'annang'}","{73, 75, 77}",{0},2.757357597351074,3.606827735900879
don't,,,,2.757357597351074,3.606827735900879
error,"{'fierro', 'terror'}",{73},"{0, 2}",2.757357597351074,3.606827735900879
have,,,,2.757357597351074,3.606827735900879
hope,,,,2.757357597351074,3.606827735900879
i,,,,2.757357597351074,3.606827735900879
if,,,,2.757357597351074,3.606827735900879
in,,,,2.757357597351074,3.606827735900879
jerusalem,jerusalem,89,0,2.757357597351074,3.606827735900879
lemon,"{'leone', 'lemond', 'lemon'}","{83, 91}",{0},2.757357597351074,3.606827735900879
london,london,92,0,2.757357597351074,3.606827735900879
or,,,,2.757357597351074,3.606827735900879
pear,paper,89,4,2.757357597351074,3.606827735900879
please,please,92,3,2.757357597351074,3.606827735900879
possible,possible,93,10,2.757357597351074,3.606827735900879
wanna,"{'anna', 'nwanna'}","{89, 91}",{0},2.757357597351074,3.606827735900879
watermelon,afterelton,76,0,2.757357597351074,3.606827735900879
with,,,,2.757357597351074,3.606827735900879
