,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.403543472290039,6.069263696670532
a,,,,3.403543472290039,6.069263696670532
an,,,,3.403543472290039,6.069263696670532
and,,,,3.403543472290039,6.069263696670532
apple,appeal,91,7,3.403543472290039,6.069263696670532
banana,"{'banana', 'bannan', 'annan'}","{83, 92}","{0, 1}",3.403543472290039,6.069263696670532
don't,,,,3.403543472290039,6.069263696670532
error,"{'herro', 'error'}",{80},"{0, 2}",3.403543472290039,6.069263696670532
have,,,,3.403543472290039,6.069263696670532
hope,,,,3.403543472290039,6.069263696670532
i,,,,3.403543472290039,6.069263696670532
if,,,,3.403543472290039,6.069263696670532
in,,,,3.403543472290039,6.069263696670532
jerusalem,jerusalem,89,0,3.403543472290039,6.069263696670532
lemon,"{'leone', 'lerone', 'limone'}","{91, 83}",{0},3.403543472290039,6.069263696670532
london,london,92,0,3.403543472290039,6.069263696670532
or,,,,3.403543472290039,6.069263696670532
pear,paper,89,11,3.403543472290039,6.069263696670532
please,"{'leases', 'please'}",{92},{1},3.403543472290039,6.069263696670532
possible,possible,93,20,3.403543472290039,6.069263696670532
wanna,"{'anna', 'ganna'}","{80, 89}",{0},3.403543472290039,6.069263696670532
watermelon,"{'arterton', 'arteron', 'waterson', 'weathermen'}","{74, 76, 78}",{0},3.403543472290039,6.069263696670532
with,,,,3.403543472290039,6.069263696670532
