,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.176645278930664,5.3653953075408936
a,,,,3.176645278930664,5.3653953075408936
an,,,,3.176645278930664,5.3653953075408936
and,,,,3.176645278930664,5.3653953075408936
apple,appeal,91,13,3.176645278930664,5.3653953075408936
banana,"{'gannan', 'qiannan', 'bandanna', 'nana', 'anna'}","{80, 73, 77, 71}","{0, 1}",3.176645278930664,5.3653953075408936
don't,,,,3.176645278930664,5.3653953075408936
error,"{'error', 'errors'}","{80, 73}","{2, 4}",3.176645278930664,5.3653953075408936
have,,,,3.176645278930664,5.3653953075408936
hope,,,,3.176645278930664,5.3653953075408936
i,,,,3.176645278930664,5.3653953075408936
if,,,,3.176645278930664,5.3653953075408936
in,,,,3.176645278930664,5.3653953075408936
jerusalem,jerusalem,89,0,3.176645278930664,5.3653953075408936
lemon,leone,91,0,3.176645278930664,5.3653953075408936
london,london,92,0,3.176645278930664,5.3653953075408936
or,,,,3.176645278930664,5.3653953075408936
pear,paper,89,7,3.176645278930664,5.3653953075408936
please,please,92,1,3.176645278930664,5.3653953075408936
possible,possible,93,30,3.176645278930664,5.3653953075408936
wanna,"{'hanna', 'ann', 'anna'}","{80, 89, 75}",{0},3.176645278930664,5.3653953075408936
watermelon,"{'warren', 'wartel'}",{71},{0},3.176645278930664,5.3653953075408936
with,,,,3.176645278930664,5.3653953075408936
