,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.073486328125,3.451770305633545
a,,,,3.073486328125,3.451770305633545
an,,,,3.073486328125,3.451770305633545
and,,,,3.073486328125,3.451770305633545
apple,appeal,91,4,3.073486328125,3.451770305633545
banana,"{'banana', 'annan'}","{83, 92}",{0},3.073486328125,3.451770305633545
don't,,,,3.073486328125,3.451770305633545
error,"{'error', 'erros', 'terror'}","{80, 73}","{1, 3}",3.073486328125,3.451770305633545
have,,,,3.073486328125,3.451770305633545
hope,,,,3.073486328125,3.451770305633545
i,,,,3.073486328125,3.451770305633545
if,,,,3.073486328125,3.451770305633545
in,,,,3.073486328125,3.451770305633545
jerusalem,"{'jerusalem', 'jersey'}","{89, 67}",{0},3.073486328125,3.451770305633545
lemon,"{'leemon', 'lone', 'leone', 'lemonier'}","{80, 91, 83, 86}","{0, 1}",3.073486328125,3.451770305633545
london,london,92,0,3.073486328125,3.451770305633545
or,,,,3.073486328125,3.451770305633545
pear,paper,89,4,3.073486328125,3.451770305633545
please,,,,3.073486328125,3.451770305633545
possible,possible,93,11,3.073486328125,3.451770305633545
wanna,,,,3.073486328125,3.451770305633545
watermelon,"{'warren', 'waterloo', 'waterhen'}","{74, 71}",{0},3.073486328125,3.451770305633545
with,,,,3.073486328125,3.451770305633545
