,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.3874101638793945,4.414950847625732
a,,,,3.3874101638793945,4.414950847625732
an,,,,3.3874101638793945,4.414950847625732
and,,,,3.3874101638793945,4.414950847625732
apple,appeal,91,43,3.3874101638793945,4.414950847625732
banana,"{'banana', 'anna', 'annan', 'bananas'}","{73, 83, 92, 86}",{0},3.3874101638793945,4.414950847625732
don't,,,,3.3874101638793945,4.414950847625732
error,"{'error', 'errors', 'terror'}","{80, 73}","{1, 3, 15}",3.3874101638793945,4.414950847625732
have,,,,3.3874101638793945,4.414950847625732
hope,,,,3.3874101638793945,4.414950847625732
i,,,,3.3874101638793945,4.414950847625732
if,,,,3.3874101638793945,4.414950847625732
in,,,,3.3874101638793945,4.414950847625732
jerusalem,jerusalem,89,0,3.3874101638793945,4.414950847625732
lemon,leone,91,0,3.3874101638793945,4.414950847625732
london,london,92,0,3.3874101638793945,4.414950847625732
or,,,,3.3874101638793945,4.414950847625732
pear,paper,89,7,3.3874101638793945,4.414950847625732
please,please,92,2,3.3874101638793945,4.414950847625732
possible,possible,93,27,3.3874101638793945,4.414950847625732
wanna,anna,89,0,3.3874101638793945,4.414950847625732
watermelon,warren,71,0,3.3874101638793945,4.414950847625732
with,,,,3.3874101638793945,4.414950847625732
