,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.638063430786133,5.695183992385864
a,,,,3.638063430786133,5.695183992385864
an,,,,3.638063430786133,5.695183992385864
and,,,,3.638063430786133,5.695183992385864
apple,appeal,91,15,3.638063430786133,5.695183992385864
banana,"{'ananda', 'bannau', 'annan', 'tanana'}","{83, 77}",{0},3.638063430786133,5.695183992385864
don't,,,,3.638063430786133,5.695183992385864
error,"{'error', 'cerro'}",{80},"{0, 3}",3.638063430786133,5.695183992385864
have,,,,3.638063430786133,5.695183992385864
hope,,,,3.638063430786133,5.695183992385864
i,,,,3.638063430786133,5.695183992385864
if,,,,3.638063430786133,5.695183992385864
in,,,,3.638063430786133,5.695183992385864
jerusalem,jerusalem,89,0,3.638063430786133,5.695183992385864
lemon,lemon,91,0,3.638063430786133,5.695183992385864
london,london,92,0,3.638063430786133,5.695183992385864
or,,,,3.638063430786133,5.695183992385864
pear,paper,89,8,3.638063430786133,5.695183992385864
please,please,92,0,3.638063430786133,5.695183992385864
possible,possible,93,27,3.638063430786133,5.695183992385864
wanna,,,,3.638063430786133,5.695183992385864
watermelon,warren,71,0,3.638063430786133,5.695183992385864
with,,,,3.638063430786133,5.695183992385864
