,matched_words,match_distance,words_frequency,total_memory_mb,time_sec
a,,,,0.23555946350097656,2.9856150150299072
an,,,,0.23555946350097656,2.9856150150299072
and,,,,0.23555946350097656,2.9856150150299072
apple,{'appealed'},{6.1974},[5252.0],0.23555946350097656,2.9856150150299072
banana,"{'banana', 'nana'}","{3.6072, 5.6122}","[760.0, 8.0]",0.23555946350097656,2.9856150150299072
don't,,,,0.23555946350097656,2.9856150150299072
error,{'error'},"{3.784, 4.2706}",[172.0],0.23555946350097656,2.9856150150299072
have,,,,0.23555946350097656,2.9856150150299072
hope,,,,0.23555946350097656,2.9856150150299072
i,,,,0.23555946350097656,2.9856150150299072
if,,,,0.23555946350097656,2.9856150150299072
in,,,,0.23555946350097656,2.9856150150299072
jerusalem,"{'veljanovski', 'jerusalem'}","{5.5064, 5.1666}","[148.0, 9.0]",0.23555946350097656,2.9856150150299072
lemon,"{'leone', 'llwyndyrys'}","{4.8598, 5.7262}","[4.0, 4.0]",0.23555946350097656,2.9856150150299072
london,"{'olof', 'london'}","{8.3013, 3.8871}","[3.0, 4.0]",0.23555946350097656,2.9856150150299072
or,,,,0.23555946350097656,2.9856150150299072
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[6.0, 6.0]",0.23555946350097656,2.9856150150299072
please,"{'settles', ""stallion's""}","{4.9562, 5.0393}","[21.0, 21.0]",0.23555946350097656,2.9856150150299072
possible,"{'spoiling', 'superimposed'}","{6.591, 6.6429}","[21.0, 21.0]",0.23555946350097656,2.9856150150299072
wanna,,,,0.23555946350097656,2.9856150150299072
watermelon,"{'qara', 'warned'}","{7.632, 7.5992}","[2.0, 0.0]",0.23555946350097656,2.9856150150299072
with,,,,0.23555946350097656,2.9856150150299072
