,matched_words,match_distance,words_frequency,total_memory_mb,time_sec
a,,,,3.577991485595703,3.115572690963745
an,,,,3.577991485595703,3.115572690963745
and,,,,3.577991485595703,3.115572690963745
apple,"{""l'appel"", 'appealed'}","{6.1974, 6.521}","[20.0, 4659.0]",3.577991485595703,3.115572690963745
banana,"{'banana', 'anynana'}","{3.6909, 3.6072}","[733.0, 4659.0]",3.577991485595703,3.115572690963745
don't,,,,3.577991485595703,3.115572690963745
error,"{'error', 'formed'}","{4.2706, 6.3691}","[240.0, 65.0]",3.577991485595703,3.115572690963745
have,,,,3.577991485595703,3.115572690963745
hope,,,,3.577991485595703,3.115572690963745
i,,,,3.577991485595703,3.115572690963745
if,,,,3.577991485595703,3.115572690963745
in,,,,3.577991485595703,3.115572690963745
jerusalem,"{'jerusalem', 'describes'}","{5.5064, 6.7379}","[24.0, 162.0]",3.577991485595703,3.115572690963745
lemon,"{'lobeline', 'lemmons'}","{4.7008, 7.1705}","[20.0, 20.0]",3.577991485595703,3.115572690963745
london,{'london'},"{3.8871, 6.459}",[20.0],3.577991485595703,3.115572690963745
or,,,,3.577991485595703,3.115572690963745
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[12.0, 12.0]",3.577991485595703,3.115572690963745
please,"{'settles', 'lipstick'}","{5.2818, 5.0393}","[35.0, 20.0]",3.577991485595703,3.115572690963745
possible,"{'pivoxazepam', 'subtypes'}","{6.0927, 6.9247}","[12.0, 35.0]",3.577991485595703,3.115572690963745
wanna,"{'hanna', 'ioanna'}","{6.9662, 7.2827}","[40.0, 35.0]",3.577991485595703,3.115572690963745
watermelon,"{'warranted', 'warned'}","{7.8379, 7.5992}","[3.0, 3.0]",3.577991485595703,3.115572690963745
with,,,,3.577991485595703,3.115572690963745
