,matched_words,matched_scores,words_frequency,time_sec,total_memory_mb
I,,,,1.8736131191253662,9.438606262207031
a,,,,1.8736131191253662,9.438606262207031
an,,,,1.8736131191253662,9.438606262207031
and,,,,1.8736131191253662,9.438606262207031
apple,appeal,91,35,1.8736131191253662,9.438606262207031
banana,"{'banana', 'bannon', 'anna'}","{73, 92, 77}",{0},1.8736131191253662,9.438606262207031
don't,,,,1.8736131191253662,9.438606262207031
error,error,80,6,1.8736131191253662,9.438606262207031
have,,,,1.8736131191253662,9.438606262207031
hope,,,,1.8736131191253662,9.438606262207031
i,,,,1.8736131191253662,9.438606262207031
if,,,,1.8736131191253662,9.438606262207031
in,,,,1.8736131191253662,9.438606262207031
jerusalem,"{'jersey', 'jetstream'}",{67},{0},1.8736131191253662,9.438606262207031
lemon,lemon,91,0,1.8736131191253662,9.438606262207031
london,london,92,0,1.8736131191253662,9.438606262207031
or,,,,1.8736131191253662,9.438606262207031
pear,paper,89,8,1.8736131191253662,9.438606262207031
please,"{'please', 'pleasures'}","{88, 92}","{0, 1}",1.8736131191253662,9.438606262207031
possible,possible,93,32,1.8736131191253662,9.438606262207031
wanna,anna,89,0,1.8736131191253662,9.438606262207031
watermelon,"{'watermelon', 'warren', 'wartime'}","{67, 95, 71}",{0},1.8736131191253662,9.438606262207031
with,,,,1.8736131191253662,9.438606262207031
