,matched_words,matched_scores,words_frequency,time_sec,total_memory_mb
I,,,,2.0951919555664062,10.618537902832031
a,,,,2.0951919555664062,10.618537902832031
an,,,,2.0951919555664062,10.618537902832031
and,,,,2.0951919555664062,10.618537902832031
apple,"{'appell', 'appel', 'appeal'}","{91, 100}","{0, 7}",2.0951919555664062,10.618537902832031
banana,"{'annan', 'bannon', 'bandanas', 'bafana'}","{80, 83, 77}","{0, 1}",2.0951919555664062,10.618537902832031
don't,,,,2.0951919555664062,10.618537902832031
error,error,80,0,2.0951919555664062,10.618537902832031
have,,,,2.0951919555664062,10.618537902832031
hope,,,,2.0951919555664062,10.618537902832031
i,,,,2.0951919555664062,10.618537902832031
if,,,,2.0951919555664062,10.618537902832031
in,,,,2.0951919555664062,10.618537902832031
jerusalem,jerusalem,89,0,2.0951919555664062,10.618537902832031
lemon,"{'lemond', 'leone'}","{83, 91}",{0},2.0951919555664062,10.618537902832031
london,london,92,0,2.0951919555664062,10.618537902832031
or,,,,2.0951919555664062,10.618537902832031
pear,paper,89,9,2.0951919555664062,10.618537902832031
please,please,92,1,2.0951919555664062,10.618537902832031
possible,possible,93,20,2.0951919555664062,10.618537902832031
wanna,"{'wanna', 'anna'}","{89, 100}",{0},2.0951919555664062,10.618537902832031
watermelon,warren,71,0,2.0951919555664062,10.618537902832031
with,,,,2.0951919555664062,10.618537902832031
