,matched_words,matched_scores,words_frequency,time_sec,total_memory_mb
I,,,,2.4051644802093506,9.438606262207031
a,,,,2.4051644802093506,9.438606262207031
an,,,,2.4051644802093506,9.438606262207031
and,,,,2.4051644802093506,9.438606262207031
apple,appeal,91,3,2.4051644802093506,9.438606262207031
banana,"{'bannon', 'bana', 'brannan', 'anynana', 'banana'}","{73, 92, 77, 86}","{0, 1}",2.4051644802093506,9.438606262207031
don't,,,,2.4051644802093506,9.438606262207031
error,"{'perron', 'errors', 'error', 'terror'}","{80, 73}","{0, 1}",2.4051644802093506,9.438606262207031
have,,,,2.4051644802093506,9.438606262207031
hope,,,,2.4051644802093506,9.438606262207031
i,,,,2.4051644802093506,9.438606262207031
if,,,,2.4051644802093506,9.438606262207031
in,,,,2.4051644802093506,9.438606262207031
jerusalem,"{'jerusalem', 'jeremy', 'realm', 'jetstream'}","{89, 67, 71}",{0},2.4051644802093506,9.438606262207031
lemon,"{'lone', 'leon', 'lemmon', 'lemond'}","{80, 83}","{0, 2}",2.4051644802093506,9.438606262207031
london,london,92,0,2.4051644802093506,9.438606262207031
or,,,,2.4051644802093506,9.438606262207031
pear,paper,89,5,2.4051644802093506,9.438606262207031
please,please,92,2,2.4051644802093506,9.438606262207031
possible,possible,93,12,2.4051644802093506,9.438606262207031
wanna,anna,89,0,2.4051644802093506,9.438606262207031
watermelon,"{'waterloo', 'waterman'}",{74},{0},2.4051644802093506,9.438606262207031
with,,,,2.4051644802093506,9.438606262207031
