,matched_words,matched_scores,words_frequency,time_sec,total_memory_mb
I,,,,2.5647029876708984,9.438606262207031
a,,,,2.5647029876708984,9.438606262207031
an,,,,2.5647029876708984,9.438606262207031
and,,,,2.5647029876708984,9.438606262207031
apple,appeal,91,9,2.5647029876708984,9.438606262207031
banana,"{'bangunan', 'bandanna', 'lannan', 'bananas'}","{80, 77, 86}","{0, 1, 2}",2.5647029876708984,9.438606262207031
don't,,,,2.5647029876708984,9.438606262207031
error,"{'rirwof', 'rnrhof', 'error', 'errors'}","{80, 73}","{0, 1, 3}",2.5647029876708984,9.438606262207031
have,,,,2.5647029876708984,9.438606262207031
hope,,,,2.5647029876708984,9.438606262207031
i,,,,2.5647029876708984,9.438606262207031
if,,,,2.5647029876708984,9.438606262207031
in,,,,2.5647029876708984,9.438606262207031
jerusalem,jerusalem,89,0,2.5647029876708984,9.438606262207031
lemon,lemon,91,0,2.5647029876708984,9.438606262207031
london,london,92,0,2.5647029876708984,9.438606262207031
or,,,,2.5647029876708984,9.438606262207031
pear,paper,89,15,2.5647029876708984,9.438606262207031
please,please,92,1,2.5647029876708984,9.438606262207031
possible,possible,93,29,2.5647029876708984,9.438606262207031
wanna,,,,2.5647029876708984,9.438606262207031
watermelon,waterloo,74,0,2.5647029876708984,9.438606262207031
with,,,,2.5647029876708984,9.438606262207031
