,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,1.6780264377593994,0.0040721893310546875
an,,,,1.6780264377593994,0.0040721893310546875
and,,,,1.6780264377593994,0.0040721893310546875
apple,"{'papel', 'appealed'}","{4.7146, 6.1974}","[9.0, 4922.0]",1.6780264377593994,0.0040721893310546875
banana,"{'nabāto', 'bandanna'}","{3.2076, 6.1802}","[18.0, 759.0]",1.6780264377593994,0.0040721893310546875
don't,,,,1.6780264377593994,0.0040721893310546875
error,"{'error', 'r'}","{4.2706, 6.4512}","[189.0, 8.0]",1.6780264377593994,0.0040721893310546875
have,,,,1.6780264377593994,0.0040721893310546875
hope,,,,1.6780264377593994,0.0040721893310546875
i,,,,1.6780264377593994,0.0040721893310546875
if,,,,1.6780264377593994,0.0040721893310546875
in,,,,1.6780264377593994,0.0040721893310546875
jerusalem,"{'jerusalem', 'describes'}","{5.5064, 6.7379}","[23.0, 132.0]",1.6780264377593994,0.0040721893310546875
lemon,"{'lemon', 'leonie'}","{5.673, 6.2809}","[17.0, 17.0]",1.6780264377593994,0.0040721893310546875
london,"{'london', 'longwy'}","{3.8871, 5.7876}","[17.0, 17.0]",1.6780264377593994,0.0040721893310546875
or,,,,1.6780264377593994,0.0040721893310546875
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[9.0, 9.0]",1.6780264377593994,0.0040721893310546875
please,"{'settles', 'spieletester.com'}","{5.075, 5.0393}","[35.0, 35.0]",1.6780264377593994,0.0040721893310546875
possible,"{'ps', 'pose'}","{7.2907, 7.2001}","[9.0, 9.0]",1.6780264377593994,0.0040721893310546875
wanna,,,,1.6780264377593994,0.0040721893310546875
watermelon,"{'warned', 'trawled'}","{7.5992, 7.4863}","[4.0, 103.0]",1.6780264377593994,0.0040721893310546875
with,,,,1.6780264377593994,0.0040721893310546875
