,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,1.604663372039795,0.004085540771484375
an,,,,1.604663372039795,0.004085540771484375
and,,,,1.604663372039795,0.004085540771484375
apple,"{'citadel', 'appice'}","{6.5476, 7.4045}","[440.0, 5049.0]",1.604663372039795,0.004085540771484375
banana,"{'banana', 'three-month'}","{3.6072, 7.6065}","[947.0, 94.0]",1.604663372039795,0.004085540771484375
don't,,,,1.604663372039795,0.004085540771484375
error,{'error'},"{3.784, 4.2706}",[248.0],1.604663372039795,0.004085540771484375
have,,,,1.604663372039795,0.004085540771484375
hope,,,,1.604663372039795,0.004085540771484375
i,,,,1.604663372039795,0.004085540771484375
if,,,,1.604663372039795,0.004085540771484375
in,,,,1.604663372039795,0.004085540771484375
jerusalem,"{'jerisheh', 'jerusalem'}","{5.5064, 5.3275}","[55.0, 55.0]",1.604663372039795,0.004085540771484375
lemon,"{'leone', 'leonard'}","{4.8598, 6.5855}","[38.0, 38.0]",1.604663372039795,0.004085540771484375
london,{'london'},"{3.8871, 6.459}",[38.0],1.604663372039795,0.004085540771484375
or,,,,1.604663372039795,0.004085540771484375
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[54.0, 54.0]",1.604663372039795,0.004085540771484375
please,"{'safeties', 'peeresses'}","{5.3401, 5.0674}","[33.0, 54.0]",1.604663372039795,0.004085540771484375
possible,"{'pooja', 'superimposed'}","{5.682, 6.591}","[54.0, 33.0]",1.604663372039795,0.004085540771484375
wanna,"{'wanna', 'with'}","{0.0, 8.135}","[59.0, 59.0]",1.604663372039795,0.004085540771484375
watermelon,"{'rhetoric', 'warned'}","{7.8103, 7.5992}","[20.0, 59.0]",1.604663372039795,0.004085540771484375
with,,,,1.604663372039795,0.004085540771484375
