,matched_words,match_distance,words_frequency,total_memory_mb,time_sec
a,,,,0.24115848541259766,2.9850916862487793
an,,,,0.24115848541259766,2.9850916862487793
and,,,,0.24115848541259766,2.9850916862487793
apple,"{'appealed', ""l'appel""}","{6.1974, 6.521}","[4948.0, 13.0]",0.24115848541259766,2.9850916862487793
banana,"{'anynana', 'banana'}","{3.6909, 3.6072}","[4948.0, 775.0]",0.24115848541259766,2.9850916862487793
don't,,,,0.24115848541259766,2.9850916862487793
error,"{'formed', 'error'}","{4.2706, 6.3691}","[51.0, 269.0]",0.24115848541259766,2.9850916862487793
have,,,,0.24115848541259766,2.9850916862487793
hope,,,,0.24115848541259766,2.9850916862487793
i,,,,0.24115848541259766,2.9850916862487793
if,,,,0.24115848541259766,2.9850916862487793
in,,,,0.24115848541259766,2.9850916862487793
jerusalem,"{'describes', 'jerusalem'}","{5.5064, 6.7379}","[147.0, 16.0]",0.24115848541259766,2.9850916862487793
lemon,"{'lemmons', 'lobeline'}","{4.7008, 7.1705}","[13.0, 13.0]",0.24115848541259766,2.9850916862487793
london,{'london'},"{3.8871, 6.459}",[13.0],0.24115848541259766,2.9850916862487793
or,,,,0.24115848541259766,2.9850916862487793
pear,"{'parameter', 'parker'}","{3.4475, 4.5089}","[10.0, 10.0]",0.24115848541259766,2.9850916862487793
please,"{'settles', 'lipstick'}","{5.2818, 5.0393}","[14.0, 13.0]",0.24115848541259766,2.9850916862487793
possible,"{'subtypes', 'pivoxazepam'}","{6.0927, 6.9247}","[14.0, 10.0]",0.24115848541259766,2.9850916862487793
wanna,"{'hanna', 'ioanna'}","{6.9662, 7.2827}","[27.0, 29.0]",0.24115848541259766,2.9850916862487793
watermelon,"{'warranted', 'warned'}","{7.8379, 7.5992}","[8.0, 8.0]",0.24115848541259766,2.9850916862487793
with,,,,0.24115848541259766,2.9850916862487793
