,matched_words,match_distance,words_frequency,total_memory_mb,time_sec
a,,,,3.587857246398926,2.523315906524658
an,,,,3.587857246398926,2.523315906524658
and,,,,3.587857246398926,2.523315906524658
apple,"{'appealed', 'applied'}","{6.1974, 6.7066}","[4760.0, 4760.0]",3.587857246398926,2.523315906524658
banana,"{'banana', 'bandwidth'}","{3.6072, 4.9049}","[804.0, 804.0]",3.587857246398926,2.523315906524658
don't,,,,3.587857246398926,2.523315906524658
error,"{'error', 'redo'}","{4.2706, 5.5905}","[236.0, 1.0]",3.587857246398926,2.523315906524658
have,,,,3.587857246398926,2.523315906524658
hope,,,,3.587857246398926,2.523315906524658
i,,,,3.587857246398926,2.523315906524658
if,,,,3.587857246398926,2.523315906524658
in,,,,3.587857246398926,2.523315906524658
jerusalem,{'jerusalem'},"{5.5064, 6.5362}",[15.0],3.587857246398926,2.523315906524658
lemon,"{'lemmers', 'leone'}","{4.8598, 6.4511}","[9.0, 9.0]",3.587857246398926,2.523315906524658
london,"{'london', 'dudgeon'}","{3.8871, 5.1013}","[9.0, 157.0]",3.587857246398926,2.523315906524658
or,,,,3.587857246398926,2.523315906524658
pear,"{'parameter', 'parker'}","{3.4475, 4.5089}","[27.0, 27.0]",3.587857246398926,2.523315906524658
please,"{'peeresses', 'pleas'}","{5.4609, 5.3401}","[27.0, 27.0]",3.587857246398926,2.523315906524658
possible,"{'postulates', 'superimposed'}","{6.591, 6.689}","[27.0, 61.0]",3.587857246398926,2.523315906524658
wanna,"{'hanna', 'hyena'}","{7.3082, 7.2827}","[34.0, 34.0]",3.587857246398926,2.523315906524658
watermelon,"{'ra', 'warned'}","{8.0194, 7.5992}","[1.0, 2.0]",3.587857246398926,2.523315906524658
with,,,,3.587857246398926,2.523315906524658
