,matched_words,match_distance,words_frequency,time_sec
I,,,,1.7594172954559326
a,,,,1.7594172954559326
an,,,,1.7594172954559326
and,,,,1.7594172954559326
apple,"{'papel', 'appealed'}","{4.7146, 6.1974}","[9.0, 4922.0]",1.7594172954559326
banana,"{'nabāto', 'bandanna'}","{3.2076, 6.1802}","[18.0, 759.0]",1.7594172954559326
don't,,,,1.7594172954559326
error,"{'error', 'r'}","{4.2706, 6.4512}","[189.0, 8.0]",1.7594172954559326
have,,,,1.7594172954559326
hope,,,,1.7594172954559326
i,,,,1.7594172954559326
if,,,,1.7594172954559326
in,,,,1.7594172954559326
jerusalem,"{'jerusalem', 'describes'}","{5.5064, 6.7379}","[23.0, 132.0]",1.7594172954559326
lemon,"{'lemon', 'leonie'}","{5.673, 6.2809}","[17.0, 17.0]",1.7594172954559326
london,"{'london', 'longwy'}","{3.8871, 5.7876}","[17.0, 17.0]",1.7594172954559326
or,,,,1.7594172954559326
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[9.0, 9.0]",1.7594172954559326
please,"{'settles', 'spieletester.com'}","{5.075, 5.0393}","[35.0, 35.0]",1.7594172954559326
possible,"{'ps', 'pose'}","{7.2907, 7.2001}","[9.0, 9.0]",1.7594172954559326
wanna,,,,1.7594172954559326
watermelon,"{'warned', 'trawled'}","{7.5992, 7.4863}","[4.0, 103.0]",1.7594172954559326
with,,,,1.7594172954559326
