,matched_words,match_distance,words_frequency,total_memory_mb,time_sec
a,,,,3.58298397064209,2.7667460441589355
an,,,,3.58298397064209,2.7667460441589355
and,,,,3.58298397064209,2.7667460441589355
apple,"{'appealed', 'capel'}","{6.1974, 6.3239}","[4993.0, 308.0]",3.58298397064209,2.7667460441589355
banana,"{'anhydrous', 'banana'}","{3.6072, 7.2885}","[4993.0, 901.0]",3.58298397064209,2.7667460441589355
don't,,,,3.58298397064209,2.7667460441589355
error,{'error'},"{3.784, 4.2706}",[237.0],3.58298397064209,2.7667460441589355
have,,,,3.58298397064209,2.7667460441589355
hope,,,,3.58298397064209,2.7667460441589355
i,,,,3.58298397064209,2.7667460441589355
if,,,,3.58298397064209,2.7667460441589355
in,,,,3.58298397064209,2.7667460441589355
jerusalem,"{'describe', 'describes'}","{6.7379, 6.7698}","[168.0, 168.0]",3.58298397064209,2.7667460441589355
lemon,"{'leone', 'lemon'}","{4.8598, 5.673}","[12.0, 12.0]",3.58298397064209,2.7667460441589355
london,{'london'},"{3.8871, 6.459}",[12.0],3.58298397064209,2.7667460441589355
or,,,,3.58298397064209,2.7667460441589355
pear,"{'practiquer', 'parker'}","{3.9213, 3.4475}","[5.0, 5.0]",3.58298397064209,2.7667460441589355
please,,,,3.58298397064209,2.7667460441589355
possible,"{'postulates', 'suppressed'}","{6.2741, 6.689}","[5.0, 16.0]",3.58298397064209,2.7667460441589355
wanna,,,,3.58298397064209,2.7667460441589355
watermelon,"{'watermelon', 'warned'}","{1.8832, 7.5992}","[1.0, 1.0]",3.58298397064209,2.7667460441589355
with,,,,3.58298397064209,2.7667460441589355
