,matched_words,match_distance,words_frequency,total_memory_mb,time_sec
a,,,,3.582779884338379,2.783634901046753
an,,,,3.582779884338379,2.783634901046753
and,,,,3.582779884338379,2.783634901046753
apple,{'appealed'},{6.1974},[4102.0],3.582779884338379,2.783634901046753
banana,"{'banana', 'nana'}","{3.6072, 5.6122}","[628.0, 6.0]",3.582779884338379,2.783634901046753
don't,,,,3.582779884338379,2.783634901046753
error,{'error'},"{3.784, 4.2706}",[179.0],3.582779884338379,2.783634901046753
have,,,,3.582779884338379,2.783634901046753
hope,,,,3.582779884338379,2.783634901046753
i,,,,3.582779884338379,2.783634901046753
if,,,,3.582779884338379,2.783634901046753
in,,,,3.582779884338379,2.783634901046753
jerusalem,"{'veljanovski', 'jerusalem'}","{5.5064, 5.1666}","[134.0, 16.0]",3.582779884338379,2.783634901046753
lemon,"{'leone', 'llwyndyrys'}","{4.8598, 5.7262}","[13.0, 13.0]",3.582779884338379,2.783634901046753
london,"{'london', 'olof'}","{8.3013, 3.8871}","[13.0, 12.0]",3.582779884338379,2.783634901046753
or,,,,3.582779884338379,2.783634901046753
pear,"{'parameter', 'parker'}","{3.4475, 4.5089}","[5.0, 5.0]",3.582779884338379,2.783634901046753
please,"{'settles', ""stallion's""}","{4.9562, 5.0393}","[16.0, 16.0]",3.582779884338379,2.783634901046753
possible,"{'superimposed', 'spoiling'}","{6.591, 6.6429}","[16.0, 16.0]",3.582779884338379,2.783634901046753
wanna,{'wanna'},{0.0},[3.0],3.582779884338379,2.783634901046753
watermelon,"{'qara', 'warned'}","{7.632, 7.5992}","[7.0, 3.0]",3.582779884338379,2.783634901046753
with,,,,3.582779884338379,2.783634901046753
