,matched_words,match_distance,words_frequency,total_memory_mb,time_sec
a,,,,3.5803585052490234,3.0509276390075684
an,,,,3.5803585052490234,3.0509276390075684
and,,,,3.5803585052490234,3.0509276390075684
apple,"{'appealed', 'padel'}","{4.8308, 6.1974}","[5104.0, 6.0]",3.5803585052490234,3.0509276390075684
banana,"{'bandanna', 'nana'}","{3.2076, 5.6122}","[804.0, 16.0]",3.5803585052490234,3.0509276390075684
don't,,,,3.5803585052490234,3.0509276390075684
error,"{'error', 'fervor'}","{4.2706, 5.9552}","[239.0, 58.0]",3.5803585052490234,3.0509276390075684
have,,,,3.5803585052490234,3.0509276390075684
hope,,,,3.5803585052490234,3.0509276390075684
i,,,,3.5803585052490234,3.0509276390075684
if,,,,3.5803585052490234,3.0509276390075684
in,,,,3.5803585052490234,3.0509276390075684
jerusalem,"{'jerusalem', 'describes'}","{5.5064, 6.7379}","[18.0, 156.0]",3.5803585052490234,3.0509276390075684
lemon,"{'leone', 'leonards'}","{4.8598, 6.6961}","[14.0, 14.0]",3.5803585052490234,3.0509276390075684
london,{'london'},{3.8871},[14.0],3.5803585052490234,3.0509276390075684
or,,,,3.5803585052490234,3.0509276390075684
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[6.0, 6.0]",3.5803585052490234,3.0509276390075684
please,"{'settles', 'tickets'}","{5.6399, 5.0393}","[11.0, 146.0]",3.5803585052490234,3.0509276390075684
possible,"{'pose', 'superimposed'}","{6.591, 7.2001}","[6.0, 11.0]",3.5803585052490234,3.0509276390075684
wanna,"{'think', 'with'}","{8.135, 7.3751}","[146.0, 7.0]",3.5803585052490234,3.0509276390075684
watermelon,"{'rhetoric', 'warned'}","{7.8103, 7.5992}","[3.0, 7.0]",3.5803585052490234,3.0509276390075684
with,,,,3.5803585052490234,3.0509276390075684
