,matched_words,match_distance,words_frequency,total_memory_mb,time_sec
a,,,,3.5763168334960938,2.7146878242492676
an,,,,3.5763168334960938,2.7146878242492676
and,,,,3.5763168334960938,2.7146878242492676
apple,"{'appealed', 'cappelen'}","{6.1974, 7.2721}","[4141.0, 203.0]",3.5763168334960938,2.7146878242492676
banana,"{'rana', 'anandamath'}","{7.3323, 7.2077}","[2.0, 4141.0]",3.5763168334960938,2.7146878242492676
don't,,,,3.5763168334960938,2.7146878242492676
error,"{'redmond', 'error'}","{4.2706, 4.4839}","[2.0, 125.0]",3.5763168334960938,2.7146878242492676
have,,,,3.5763168334960938,2.7146878242492676
hope,,,,3.5763168334960938,2.7146878242492676
i,,,,3.5763168334960938,2.7146878242492676
if,,,,3.5763168334960938,2.7146878242492676
in,,,,3.5763168334960938,2.7146878242492676
jerusalem,"{'déclais', 'jerusalem'}","{5.6861, 5.5064}","[99.0, 8.0]",3.5763168334960938,2.7146878242492676
lemon,"{'leone', 'lemmon'}","{4.8598, 7.2554}","[10.0, 10.0]",3.5763168334960938,2.7146878242492676
london,{'london'},"{3.8871, 6.459}",[10.0],3.5763168334960938,2.7146878242492676
or,,,,3.5763168334960938,2.7146878242492676
pear,"{'parameter', 'parker'}","{3.4475, 4.5089}","[6.0, 6.0]",3.5763168334960938,2.7146878242492676
please,"{'spiders', 'lipstick'}","{5.3739, 5.2818}","[41.0, 10.0]",3.5763168334960938,2.7146878242492676
possible,"{'superimposed', 'polish–lithuanian'}","{6.591, 7.0756}","[41.0, 6.0]",3.5763168334960938,2.7146878242492676
wanna,"{'hanna', 'wanna'}","{0.0, 7.2827}","[16.0, 5.0]",3.5763168334960938,2.7146878242492676
watermelon,"{'warned', 'rae'}","{8.0578, 7.5992}","[5.0, 2.0]",3.5763168334960938,2.7146878242492676
with,,,,3.5763168334960938,2.7146878242492676
