,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.19185733795166,5.796230792999268
a,,,,3.19185733795166,5.796230792999268
an,,,,3.19185733795166,5.796230792999268
and,,,,3.19185733795166,5.796230792999268
apple,appeal,91,35,3.19185733795166,5.796230792999268
banana,"{'banana', 'bannon', 'anna'}","{73, 92, 77}",{0},3.19185733795166,5.796230792999268
don't,,,,3.19185733795166,5.796230792999268
error,error,80,6,3.19185733795166,5.796230792999268
have,,,,3.19185733795166,5.796230792999268
hope,,,,3.19185733795166,5.796230792999268
i,,,,3.19185733795166,5.796230792999268
if,,,,3.19185733795166,5.796230792999268
in,,,,3.19185733795166,5.796230792999268
jerusalem,"{'jersey', 'jetstream'}",{67},{0},3.19185733795166,5.796230792999268
lemon,lemon,91,0,3.19185733795166,5.796230792999268
london,london,92,0,3.19185733795166,5.796230792999268
or,,,,3.19185733795166,5.796230792999268
pear,paper,89,8,3.19185733795166,5.796230792999268
please,"{'please', 'pleasures'}","{88, 92}","{0, 1}",3.19185733795166,5.796230792999268
possible,possible,93,32,3.19185733795166,5.796230792999268
wanna,anna,89,0,3.19185733795166,5.796230792999268
watermelon,"{'watermelon', 'warren', 'wartime'}","{67, 95, 71}",{0},3.19185733795166,5.796230792999268
with,,,,3.19185733795166,5.796230792999268
