,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.1786117553710938,4.511067628860474
a,,,,3.1786117553710938,4.511067628860474
an,,,,3.1786117553710938,4.511067628860474
and,,,,3.1786117553710938,4.511067628860474
apple,appeal,91,7,3.1786117553710938,4.511067628860474
banana,"{'banana', 'nana', 'bandana', 'anna'}","{73, 92, 86}","{0, 1}",3.1786117553710938,4.511067628860474
don't,,,,3.1786117553710938,4.511067628860474
error,"{'errors', 'error', 'terror'}","{80, 73}","{0, 2}",3.1786117553710938,4.511067628860474
have,,,,3.1786117553710938,4.511067628860474
hope,,,,3.1786117553710938,4.511067628860474
i,,,,3.1786117553710938,4.511067628860474
if,,,,3.1786117553710938,4.511067628860474
in,,,,3.1786117553710938,4.511067628860474
jerusalem,jerusalem,89,0,3.1786117553710938,4.511067628860474
lemon,"{'lone', 'leon', 'leone'}","{80, 91}","{0, 1}",3.1786117553710938,4.511067628860474
london,london,92,0,3.1786117553710938,4.511067628860474
or,,,,3.1786117553710938,4.511067628860474
pear,paper,89,8,3.1786117553710938,4.511067628860474
please,please,92,0,3.1786117553710938,4.511067628860474
possible,possible,93,44,3.1786117553710938,4.511067628860474
wanna,"{'wannabe', 'anna'}","{89, 83}","{0, 1}",3.1786117553710938,4.511067628860474
watermelon,"{'waterloo', 'warren'}","{74, 71}",{0},3.1786117553710938,4.511067628860474
with,,,,3.1786117553710938,4.511067628860474
