,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,2.885077714920044,3.527027130126953
an,,,,2.885077714920044,3.527027130126953
and,,,,2.885077714920044,3.527027130126953
apple,"{'cappelen', 'appealed'}","{6.1974, 7.2721}","[232.0, 4204.0]",2.885077714920044,3.527027130126953
banana,"{'rana', 'anandamath'}","{7.3323, 7.2077}","[5.0, 4204.0]",2.885077714920044,3.527027130126953
don't,,,,2.885077714920044,3.527027130126953
error,"{'error', 'redmond'}","{4.2706, 4.4839}","[262.0, 5.0]",2.885077714920044,3.527027130126953
have,,,,2.885077714920044,3.527027130126953
hope,,,,2.885077714920044,3.527027130126953
i,,,,2.885077714920044,3.527027130126953
if,,,,2.885077714920044,3.527027130126953
in,,,,2.885077714920044,3.527027130126953
jerusalem,"{'déclais', 'jerusalem'}","{5.6861, 5.5064}","[144.0, 22.0]",2.885077714920044,3.527027130126953
lemon,"{'leone', 'lemmon'}","{4.8598, 7.2554}","[12.0, 12.0]",2.885077714920044,3.527027130126953
london,{'london'},"{3.8871, 6.459}",[12.0],2.885077714920044,3.527027130126953
or,,,,2.885077714920044,3.527027130126953
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[10.0, 10.0]",2.885077714920044,3.527027130126953
please,"{'spiders', 'lipstick'}","{5.3739, 5.2818}","[25.0, 12.0]",2.885077714920044,3.527027130126953
possible,"{'polish–lithuanian', 'superimposed'}","{6.591, 7.0756}","[10.0, 25.0]",2.885077714920044,3.527027130126953
wanna,"{'hanna', 'wanna'}","{0.0, 7.2827}","[37.0, 23.0]",2.885077714920044,3.527027130126953
watermelon,"{'rae', 'warned'}","{8.0578, 7.5992}","[5.0, 23.0]",2.885077714920044,3.527027130126953
with,,,,2.885077714920044,3.527027130126953
