,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,2.7543110847473145,3.5258054733276367
an,,,,2.7543110847473145,3.5258054733276367
and,,,,2.7543110847473145,3.5258054733276367
apple,"{'apoel', 'papel'}","{3.736, 4.7146}","[4716.0, 10.0]",2.7543110847473145,3.5258054733276367
banana,"{'bandana', 'nana'}","{5.6122, 6.0831}","[919.0, 14.0]",2.7543110847473145,3.5258054733276367
don't,,,,2.7543110847473145,3.5258054733276367
error,{'error'},{4.2706},[268.0],2.7543110847473145,3.5258054733276367
have,,,,2.7543110847473145,3.5258054733276367
hope,,,,2.7543110847473145,3.5258054733276367
i,,,,2.7543110847473145,3.5258054733276367
if,,,,2.7543110847473145,3.5258054733276367
in,,,,2.7543110847473145,3.5258054733276367
jerusalem,"{'jerisheh', 'jerusalem'}","{5.5064, 5.3275}","[24.0, 24.0]",2.7543110847473145,3.5258054733276367
lemon,"{'leone', 'lermond'}","{4.3394, 4.8598}","[16.0, 16.0]",2.7543110847473145,3.5258054733276367
london,{'london'},"{3.8871, 6.459}",[16.0],2.7543110847473145,3.5258054733276367
or,,,,2.7543110847473145,3.5258054733276367
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[10.0, 10.0]",2.7543110847473145,3.5258054733276367
please,{'settles'},{5.0393},[17.0],2.7543110847473145,3.5258054733276367
possible,"{'polish–lithuanian', 'pose'}","{7.2001, 7.0756}","[10.0, 10.0]",2.7543110847473145,3.5258054733276367
wanna,"{'hanna', 'hyena'}","{7.3082, 7.2827}","[88.0, 88.0]",2.7543110847473145,3.5258054733276367
watermelon,"{'qara', 'warned'}","{7.632, 7.5992}","[8.0, 3.0]",2.7543110847473145,3.5258054733276367
with,,,,2.7543110847473145,3.5258054733276367
