,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,2.669024705886841,3.5274667739868164
an,,,,2.669024705886841,3.5274667739868164
and,,,,2.669024705886841,3.5274667739868164
apple,"{'citadel', 'appice'}","{6.5476, 7.4045}","[440.0, 5049.0]",2.669024705886841,3.5274667739868164
banana,"{'banana', 'three-month'}","{3.6072, 7.6065}","[947.0, 94.0]",2.669024705886841,3.5274667739868164
don't,,,,2.669024705886841,3.5274667739868164
error,{'error'},"{3.784, 4.2706}",[248.0],2.669024705886841,3.5274667739868164
have,,,,2.669024705886841,3.5274667739868164
hope,,,,2.669024705886841,3.5274667739868164
i,,,,2.669024705886841,3.5274667739868164
if,,,,2.669024705886841,3.5274667739868164
in,,,,2.669024705886841,3.5274667739868164
jerusalem,"{'jerisheh', 'jerusalem'}","{5.5064, 5.3275}","[55.0, 55.0]",2.669024705886841,3.5274667739868164
lemon,"{'leone', 'leonard'}","{4.8598, 6.5855}","[38.0, 38.0]",2.669024705886841,3.5274667739868164
london,{'london'},"{3.8871, 6.459}",[38.0],2.669024705886841,3.5274667739868164
or,,,,2.669024705886841,3.5274667739868164
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[54.0, 54.0]",2.669024705886841,3.5274667739868164
please,"{'safeties', 'peeresses'}","{5.3401, 5.0674}","[33.0, 54.0]",2.669024705886841,3.5274667739868164
possible,"{'pooja', 'superimposed'}","{5.682, 6.591}","[54.0, 33.0]",2.669024705886841,3.5274667739868164
wanna,"{'wanna', 'with'}","{0.0, 8.135}","[59.0, 59.0]",2.669024705886841,3.5274667739868164
watermelon,"{'rhetoric', 'warned'}","{7.8103, 7.5992}","[20.0, 59.0]",2.669024705886841,3.5274667739868164
with,,,,2.669024705886841,3.5274667739868164
