,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,2.9381561279296875,3.5446367263793945
an,,,,2.9381561279296875,3.5446367263793945
and,,,,2.9381561279296875,3.5446367263793945
apple,"{'appel', 'appell'}","{0.0, 3.4251}","[4949.0, 4949.0]",2.9381561279296875,3.5446367263793945
banana,"{'anhydrous', 'nana'}","{5.6122, 7.2885}","[4949.0, 26.0]",2.9381561279296875,3.5446367263793945
don't,,,,2.9381561279296875,3.5446367263793945
error,"{'r', 'formed'}","{6.3691, 6.4512}","[3.0, 87.0]",2.9381561279296875,3.5446367263793945
have,,,,2.9381561279296875,3.5446367263793945
hope,,,,2.9381561279296875,3.5446367263793945
i,,,,2.9381561279296875,3.5446367263793945
if,,,,2.9381561279296875,3.5446367263793945
in,,,,2.9381561279296875,3.5446367263793945
jerusalem,"{'veljanovski', 'jerusalem'}","{5.5064, 5.1666}","[203.0, 27.0]",2.9381561279296875,3.5446367263793945
lemon,"{'leone', 'lerone'}","{4.8598, 7.172}","[20.0, 20.0]",2.9381561279296875,3.5446367263793945
london,{'london'},"{3.8871, 6.459}",[20.0],2.9381561279296875,3.5446367263793945
or,,,,2.9381561279296875,3.5446367263793945
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[10.0, 10.0]",2.9381561279296875,3.5446367263793945
please,"{'settles', 'please'}","{4.9487, 5.0393}","[80.0, 10.0]",2.9381561279296875,3.5446367263793945
possible,"{'pooja', 'pose'}","{4.692, 5.682}","[10.0, 10.0]",2.9381561279296875,3.5446367263793945
wanna,"{'wanna', 'mangena'}","{0.0, 5.3061}","[2.0, 332.0]",2.9381561279296875,3.5446367263793945
watermelon,{'warned'},{7.5992},[2.0],2.9381561279296875,3.5446367263793945
with,,,,2.9381561279296875,3.5446367263793945
