,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,2.7444450855255127,3.534574508666992
an,,,,2.7444450855255127,3.534574508666992
and,,,,2.7444450855255127,3.534574508666992
apple,"{'papel', 'appealed'}","{4.7146, 6.1974}","[9.0, 4922.0]",2.7444450855255127,3.534574508666992
banana,"{'nabāto', 'bandanna'}","{3.2076, 6.1802}","[18.0, 759.0]",2.7444450855255127,3.534574508666992
don't,,,,2.7444450855255127,3.534574508666992
error,"{'error', 'r'}","{4.2706, 6.4512}","[189.0, 8.0]",2.7444450855255127,3.534574508666992
have,,,,2.7444450855255127,3.534574508666992
hope,,,,2.7444450855255127,3.534574508666992
i,,,,2.7444450855255127,3.534574508666992
if,,,,2.7444450855255127,3.534574508666992
in,,,,2.7444450855255127,3.534574508666992
jerusalem,"{'jerusalem', 'describes'}","{5.5064, 6.7379}","[23.0, 132.0]",2.7444450855255127,3.534574508666992
lemon,"{'lemon', 'leonie'}","{5.673, 6.2809}","[17.0, 17.0]",2.7444450855255127,3.534574508666992
london,"{'london', 'longwy'}","{3.8871, 5.7876}","[17.0, 17.0]",2.7444450855255127,3.534574508666992
or,,,,2.7444450855255127,3.534574508666992
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[9.0, 9.0]",2.7444450855255127,3.534574508666992
please,"{'settles', 'spieletester.com'}","{5.075, 5.0393}","[35.0, 35.0]",2.7444450855255127,3.534574508666992
possible,"{'ps', 'pose'}","{7.2907, 7.2001}","[9.0, 9.0]",2.7444450855255127,3.534574508666992
wanna,,,,2.7444450855255127,3.534574508666992
watermelon,"{'warned', 'trawled'}","{7.5992, 7.4863}","[4.0, 103.0]",2.7444450855255127,3.534574508666992
with,,,,2.7444450855255127,3.534574508666992
