,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,2.9444992542266846,3.528169631958008
an,,,,2.9444992542266846,3.528169631958008
and,,,,2.9444992542266846,3.528169631958008
apple,"{'appealed', 'padel'}","{4.8308, 6.1974}","[5104.0, 6.0]",2.9444992542266846,3.528169631958008
banana,"{'bandanna', 'nana'}","{3.2076, 5.6122}","[804.0, 16.0]",2.9444992542266846,3.528169631958008
don't,,,,2.9444992542266846,3.528169631958008
error,"{'error', 'fervor'}","{4.2706, 5.9552}","[239.0, 58.0]",2.9444992542266846,3.528169631958008
have,,,,2.9444992542266846,3.528169631958008
hope,,,,2.9444992542266846,3.528169631958008
i,,,,2.9444992542266846,3.528169631958008
if,,,,2.9444992542266846,3.528169631958008
in,,,,2.9444992542266846,3.528169631958008
jerusalem,"{'jerusalem', 'describes'}","{5.5064, 6.7379}","[18.0, 156.0]",2.9444992542266846,3.528169631958008
lemon,"{'leone', 'leonards'}","{4.8598, 6.6961}","[14.0, 14.0]",2.9444992542266846,3.528169631958008
london,{'london'},{3.8871},[14.0],2.9444992542266846,3.528169631958008
or,,,,2.9444992542266846,3.528169631958008
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[6.0, 6.0]",2.9444992542266846,3.528169631958008
please,"{'settles', 'tickets'}","{5.6399, 5.0393}","[11.0, 146.0]",2.9444992542266846,3.528169631958008
possible,"{'pose', 'superimposed'}","{6.591, 7.2001}","[6.0, 11.0]",2.9444992542266846,3.528169631958008
wanna,"{'think', 'with'}","{8.135, 7.3751}","[146.0, 7.0]",2.9444992542266846,3.528169631958008
watermelon,"{'rhetoric', 'warned'}","{7.8103, 7.5992}","[3.0, 7.0]",2.9444992542266846,3.528169631958008
with,,,,2.9444992542266846,3.528169631958008
