,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,2.7050044536590576,3.5464553833007812
an,,,,2.7050044536590576,3.5464553833007812
and,,,,2.7050044536590576,3.5464553833007812
apple,"{'applied', 'appealed'}","{6.1974, 6.7066}","[4561.0, 4561.0]",2.7050044536590576,3.5464553833007812
banana,"{'banana', 'bandwidth'}","{3.6072, 4.9049}","[689.0, 689.0]",2.7050044536590576,3.5464553833007812
don't,,,,2.7050044536590576,3.5464553833007812
error,"{'error', 'redo'}","{4.2706, 5.5905}","[217.0, 1.0]",2.7050044536590576,3.5464553833007812
have,,,,2.7050044536590576,3.5464553833007812
hope,,,,2.7050044536590576,3.5464553833007812
i,,,,2.7050044536590576,3.5464553833007812
if,,,,2.7050044536590576,3.5464553833007812
in,,,,2.7050044536590576,3.5464553833007812
jerusalem,{'jerusalem'},"{5.5064, 6.5362}",[28.0],2.7050044536590576,3.5464553833007812
lemon,"{'leone', 'lemmers'}","{4.8598, 6.4511}","[17.0, 17.0]",2.7050044536590576,3.5464553833007812
london,"{'london', 'dudgeon'}","{3.8871, 5.1013}","[17.0, 132.0]",2.7050044536590576,3.5464553833007812
or,,,,2.7050044536590576,3.5464553833007812
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[5.0, 5.0]",2.7050044536590576,3.5464553833007812
please,"{'pleas', 'peeresses'}","{5.4609, 5.3401}","[5.0, 5.0]",2.7050044536590576,3.5464553833007812
possible,"{'postulates', 'superimposed'}","{6.591, 6.689}","[5.0, 19.0]",2.7050044536590576,3.5464553833007812
wanna,"{'hanna', 'hyena'}","{7.3082, 7.2827}","[47.0, 47.0]",2.7050044536590576,3.5464553833007812
watermelon,"{'ra', 'warned'}","{8.0194, 7.5992}","[1.0, 2.0]",2.7050044536590576,3.5464553833007812
with,,,,2.7050044536590576,3.5464553833007812
