,matched_words,match_distance,words_frequency,time_sec,total_memory_mb
a,,,,2.9911510944366455,3.5402135848999023
an,,,,2.9911510944366455,3.5402135848999023
and,,,,2.9911510944366455,3.5402135848999023
apple,"{""l'appel"", 'appealed'}","{6.1974, 6.521}","[20.0, 4659.0]",2.9911510944366455,3.5402135848999023
banana,"{'banana', 'anynana'}","{3.6909, 3.6072}","[733.0, 4659.0]",2.9911510944366455,3.5402135848999023
don't,,,,2.9911510944366455,3.5402135848999023
error,"{'error', 'formed'}","{4.2706, 6.3691}","[240.0, 65.0]",2.9911510944366455,3.5402135848999023
have,,,,2.9911510944366455,3.5402135848999023
hope,,,,2.9911510944366455,3.5402135848999023
i,,,,2.9911510944366455,3.5402135848999023
if,,,,2.9911510944366455,3.5402135848999023
in,,,,2.9911510944366455,3.5402135848999023
jerusalem,"{'jerusalem', 'describes'}","{5.5064, 6.7379}","[24.0, 162.0]",2.9911510944366455,3.5402135848999023
lemon,"{'lobeline', 'lemmons'}","{4.7008, 7.1705}","[20.0, 20.0]",2.9911510944366455,3.5402135848999023
london,{'london'},"{3.8871, 6.459}",[20.0],2.9911510944366455,3.5402135848999023
or,,,,2.9911510944366455,3.5402135848999023
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[12.0, 12.0]",2.9911510944366455,3.5402135848999023
please,"{'settles', 'lipstick'}","{5.2818, 5.0393}","[35.0, 20.0]",2.9911510944366455,3.5402135848999023
possible,"{'pivoxazepam', 'subtypes'}","{6.0927, 6.9247}","[12.0, 35.0]",2.9911510944366455,3.5402135848999023
wanna,"{'hanna', 'ioanna'}","{6.9662, 7.2827}","[40.0, 35.0]",2.9911510944366455,3.5402135848999023
watermelon,"{'warranted', 'warned'}","{7.8379, 7.5992}","[3.0, 3.0]",2.9911510944366455,3.5402135848999023
with,,,,2.9911510944366455,3.5402135848999023
