,matched_words,match_distance,words_frequency,time_sec
a,,,,7.587074279785156
an,,,,7.587074279785156
and,,,,7.587074279785156
apple,"{'citadel', 'appealed', 'applied'}","{7.4045, 6.1974, 6.7066}","[270.0, 4561.0, 4561.0]",7.587074279785156
banana,"{'banana', 'bandwidth', 'nana'}","{3.6072, 4.9049, 5.6122}","[689.0, 689.0, 7.0]",7.587074279785156
don't,,,,7.587074279785156
error,"{'error', 'redo', 'redouté'}","{5.9431, 4.2706, 5.5905}","[217.0, 1.0, 1.0]",7.587074279785156
have,,,,7.587074279785156
hope,,,,7.587074279785156
i,,,,7.587074279785156
if,,,,7.587074279785156
in,,,,7.587074279785156
jerusalem,"{'jerusalem', 'describes'}","{5.5064, 6.5362, 6.7379}","[28.0, 132.0]",7.587074279785156
lemon,"{'leone', 'lemmers', 'fleurs'}","{4.8598, 6.4511, 7.1644}","[17.0, 17.0, 59.0]",7.587074279785156
london,"{'london', 'dudgeon'}","{3.8871, 5.1013, 6.459}","[17.0, 132.0]",7.587074279785156
or,,,,7.587074279785156
pear,"{'parker', 'parameter', 'parameters'}","{3.4475, 4.5089, 4.6056}","[5.0, 5.0, 5.0]",7.587074279785156
please,"{'pleas', 'settlers', 'peeresses'}","{5.4609, 5.3401, 5.8164}","[5.0, 19.0, 5.0]",7.587074279785156
possible,"{'polish–lithuanian', 'postulates', 'superimposed'}","{7.0756, 6.591, 6.689}","[5.0, 5.0, 19.0]",7.587074279785156
wanna,"{'hanna', 'with', 'hyena'}","{8.135, 7.3082, 7.2827}","[47.0, 2.0, 47.0]",7.587074279785156
watermelon,"{'rae', 'ra', 'warned'}","{8.0194, 8.0578, 7.5992}","[1.0, 1.0, 2.0]",7.587074279785156
with,,,,7.587074279785156
