,matched_words,match_distance,words_frequency,time_sec
a,,,,10.120242357254028
an,,,,10.120242357254028
and,,,,10.120242357254028
apple,"{'citadel', 'appice'}","{6.5476, 7.4045}","[440.0, 5049.0]",10.120242357254028
banana,"{'banana', 'banned', 'three-month'}","{3.6072, 7.6411, 7.6065}","[947.0, 947.0, 94.0]",10.120242357254028
don't,,,,10.120242357254028
error,"{'error', 'redmond'}","{3.784, 4.2706, 4.4839}","[248.0, 20.0]",10.120242357254028
have,,,,10.120242357254028
hope,,,,10.120242357254028
i,,,,10.120242357254028
if,,,,10.120242357254028
in,,,,10.120242357254028
jerusalem,"{'jerisheh', 'jerusalem'}","{5.5064, 5.3275, 6.5362}","[55.0, 55.0]",10.120242357254028
lemon,"{'leone', 'leonard', 'lemonnier'}","{4.8598, 6.5855, 6.934}","[38.0, 38.0, 38.0]",10.120242357254028
london,"{'london', 'floods/typhoon'}","{8.8999, 3.8871, 6.459}","[38.0, 200.0]",10.120242357254028
or,,,,10.120242357254028
pear,"{'parker', 'parameter', 'parameters'}","{3.4475, 4.5089, 4.6056}","[54.0, 54.0, 54.0]",10.120242357254028
please,"{'safeties', 'peeresses', 'psychedelic'}","{5.3401, 5.0674, 6.0297}","[33.0, 54.0, 54.0]",10.120242357254028
possible,"{'pooja', 'postulates', 'superimposed'}","{5.682, 6.591, 6.689}","[54.0, 54.0, 33.0]",10.120242357254028
wanna,"{'wanna', 'with'}","{0.0, 8.135}","[59.0, 59.0]",10.120242357254028
watermelon,"{'rhetoric', 'ra', 'warned'}","{8.0194, 7.8103, 7.5992}","[20.0, 20.0, 59.0]",10.120242357254028
with,,,,10.120242357254028
