,matched_words,match_distance,words_frequency,time_sec
a,,,,12.344510793685913
an,,,,12.344510793685913
and,,,,12.344510793685913
apple,"{'citadel', 'capel', 'appealed'}","{7.4045, 6.1974, 6.3239}","[306.0, 306.0, 4832.0]",12.344510793685913
banana,"{'banana', 'anhydrous', 'banker'}","{8.1745, 3.6072, 7.2885}","[768.0, 4832.0, 768.0]",12.344510793685913
don't,,,,12.344510793685913
error,"{'error', 'reduz'}","{3.784, 4.2706, 6.0785}","[240.0, 4.0]",12.344510793685913
have,,,,12.344510793685913
hope,,,,12.344510793685913
i,,,,12.344510793685913
if,,,,12.344510793685913
in,,,,12.344510793685913
jerusalem,"{'libellous', 'describe', 'describes'}","{7.4662, 6.7379, 6.7698}","[13.0, 153.0, 153.0]",12.344510793685913
lemon,"{'leone', 'lemon'}","{4.8598, 5.673, 7.6082}","[13.0, 13.0]",12.344510793685913
london,"{'london', 'loon'}","{9.2331, 3.8871, 6.459}","[13.0, 13.0]",12.344510793685913
or,,,,12.344510793685913
pear,"{'parker', 'parameter', 'practiquer'}","{3.9213, 3.4475, 4.5089}","[5.0, 5.0, 5.0]",12.344510793685913
please,"{'spiders', 'settlers'}","{5.3739, 5.2724, 5.8164}","[51.0, 51.0]",12.344510793685913
possible,"{'pose', 'postulates', 'suppressed'}","{7.2001, 6.2741, 6.689}","[5.0, 5.0, 51.0]",12.344510793685913
wanna,"{'rihanna', 'with'}","{8.135, 8.2539}","[4.0, 3.0]",12.344510793685913
watermelon,"{'watermelon', 'rhetoric', 'warned'}","{1.8832, 7.8103, 7.5992}","[3.0, 4.0, 3.0]",12.344510793685913
with,,,,12.344510793685913
