,matched_words,match_distance,words_frequency,time_sec
a,,,,10.918754577636719
an,,,,10.918754577636719
and,,,,10.918754577636719
apple,"{'cappelen', 'citadel', 'appealed'}","{7.4045, 6.1974, 7.2721}","[232.0, 232.0, 4204.0]",10.918754577636719
banana,"{'banned', 'anandamath', 'rana'}","{7.6411, 7.3323, 7.2077}","[647.0, 4204.0, 5.0]",10.918754577636719
don't,,,,10.918754577636719
error,"{'error', 'redmond', 'reformers'}","{5.4131, 4.2706, 4.4839}","[262.0, 5.0, 5.0]",10.918754577636719
have,,,,10.918754577636719
hope,,,,10.918754577636719
i,,,,10.918754577636719
if,,,,10.918754577636719
in,,,,10.918754577636719
jerusalem,"{'velasquez', 'déclais', 'jerusalem'}","{5.6861, 5.5064, 6.4533}","[144.0, 144.0, 22.0]",10.918754577636719
lemon,"{'decline', 'leone', 'lemmon'}","{7.4808, 4.8598, 7.2554}","[144.0, 12.0, 12.0]",10.918754577636719
london,"{'london', 'longs'}","{9.2143, 3.8871, 6.459}","[12.0, 12.0]",10.918754577636719
or,,,,10.918754577636719
pear,"{'parker', 'parameter', 'parameters'}","{3.4475, 4.5089, 4.6056}","[10.0, 10.0, 10.0]",10.918754577636719
please,"{'spiders', 'lipstick', 'settlers'}","{5.3739, 5.2818, 5.3756}","[25.0, 12.0, 25.0]",10.918754577636719
possible,"{'polish-lithuanian', 'polish–lithuanian', 'superimposed'}","{6.591, 7.0756}","[10.0, 10.0, 25.0]",10.918754577636719
wanna,"{'hanna', 'wanna', 'with'}","{0.0, 8.135, 7.2827}","[37.0, 23.0, 23.0]",10.918754577636719
watermelon,"{'writer-director', 'warned', 'rae'}","{8.0578, 8.1671, 7.5992}","[23.0, 23.0, 5.0]",10.918754577636719
with,,,,10.918754577636719
