,matched_words,match_distance,words_frequency,time_sec
a,,,,9.435225009918213
an,,,,9.435225009918213
and,,,,9.435225009918213
apple,"{'appealed', 'application', 'padel'}","{4.8308, 6.1974, 6.9971}","[5104.0, 5104.0, 6.0]",9.435225009918213
banana,"{'bandanna', 'three-month', 'nana'}","{3.2076, 5.6122, 7.6065}","[804.0, 146.0, 16.0]",9.435225009918213
don't,,,,9.435225009918213
error,"{'error', 'fervor', 'formed'}","{4.2706, 5.9552, 6.3691}","[239.0, 58.0, 58.0]",9.435225009918213
have,,,,9.435225009918213
hope,,,,9.435225009918213
i,,,,9.435225009918213
if,,,,9.435225009918213
in,,,,9.435225009918213
jerusalem,"{'describe', 'jerusalem', 'describes'}","{5.5064, 6.7379, 6.7698}","[156.0, 18.0, 156.0]",9.435225009918213
lemon,"{'leone', 'levied', 'leonards'}","{4.8598, 6.6961, 7.6364}","[14.0, 14.0, 14.0]",9.435225009918213
london,{'london'},"{3.8871, 6.459}",[14.0],9.435225009918213
or,,,,9.435225009918213
pear,"{'parker', 'parameter', 'adapt'}","{3.4475, 4.5089, 5.8108}","[6.0, 6.0, 5104.0]",9.435225009918213
please,"{'settles', 'tickets', 'settlers'}","{5.6399, 5.0393, 5.8164}","[11.0, 146.0, 11.0]",9.435225009918213
possible,"{'supp', 'pose', 'superimposed'}","{7.5581, 6.591, 7.2001}","[11.0, 6.0, 11.0]",9.435225009918213
wanna,"{'think', 'with'}","{8.135, 7.3751}","[146.0, 7.0]",9.435225009918213
watermelon,"{'rae', 'rhetoric', 'warned'}","{8.0578, 7.8103, 7.5992}","[3.0, 3.0, 7.0]",9.435225009918213
with,,,,9.435225009918213
