,matched_words,match_distance,words_frequency,time_sec
a,,,,7.873238801956177
an,,,,7.873238801956177
and,,,,7.873238801956177
apple,"{'apoel', 'papel', 'appealed'}","{3.736, 4.7146, 6.1974}","[4716.0, 10.0, 4716.0]",7.873238801956177
banana,"{'bandana', 'nadanian', 'nana'}","{5.6122, 6.0831, 7.2321}","[919.0, 14.0, 14.0]",7.873238801956177
don't,,,,7.873238801956177
error,"{'error', 'formed'}","{4.2706, 6.3691}","[268.0, 126.0]",7.873238801956177
have,,,,7.873238801956177
hope,,,,7.873238801956177
i,,,,7.873238801956177
if,,,,7.873238801956177
in,,,,7.873238801956177
jerusalem,"{'jerisheh', 'jerusalem'}","{5.5064, 5.3275, 6.5362}","[24.0, 24.0]",7.873238801956177
lemon,"{'leone', 'lermond', 'leonard'}","{4.3394, 4.8598, 6.5855}","[16.0, 16.0, 16.0]",7.873238801956177
london,"{'london', 'lokhoff'}","{3.8871, 6.459, 7.2324}","[16.0, 16.0]",7.873238801956177
or,,,,7.873238801956177
pear,"{'parker', 'parameter', 'parameters'}","{3.4475, 4.5089, 4.6056}","[10.0, 10.0, 10.0]",7.873238801956177
please,"{'settles', 'stifles'}","{5.2374, 5.0393}","[17.0, 17.0]",7.873238801956177
possible,"{'polish–lithuanian', 'pose'}","{7.2001, 7.0756}","[10.0, 10.0]",7.873238801956177
wanna,"{'hanna', 'with', 'hyena'}","{8.135, 7.3082, 7.2827}","[88.0, 3.0, 88.0]",7.873238801956177
watermelon,"{'qara', 'ra', 'warned'}","{8.0194, 7.632, 7.5992}","[8.0, 5.0, 3.0]",7.873238801956177
with,,,,7.873238801956177
