,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.016481399536133,4.2497453689575195
a,,,,3.016481399536133,4.2497453689575195
an,,,,3.016481399536133,4.2497453689575195
and,,,,3.016481399536133,4.2497453689575195
apple,appeal,91,4.0,3.016481399536133,4.2497453689575195
banana,"{'santana', 'banana', 'anna'}","{73, 92, 71}",{0.0},3.016481399536133,4.2497453689575195
don't,,,,3.016481399536133,4.2497453689575195
error,"{'error', 'herro', 'herron'}","{80, 73}","{0.0, 1.0}",3.016481399536133,4.2497453689575195
have,,,,3.016481399536133,4.2497453689575195
hope,,,,3.016481399536133,4.2497453689575195
i,,,,3.016481399536133,4.2497453689575195
if,,,,3.016481399536133,4.2497453689575195
in,,,,3.016481399536133,4.2497453689575195
jerusalem,"{'realm', 'jeremy', 'jersey'}","{67, 71}","{0.0, 2.0}",3.016481399536133,4.2497453689575195
lemon,"{'lemon', 'leone', 'lemonade', 'lemond', 'leon'}","{80, 83, 91, 86}",{0.0},3.016481399536133,4.2497453689575195
london,london,92,0.0,3.016481399536133,4.2497453689575195
or,,,,3.016481399536133,4.2497453689575195
pear,paper,89,12.0,3.016481399536133,4.2497453689575195
please,please,92,0.0,3.016481399536133,4.2497453689575195
possible,possible,93,22.0,3.016481399536133,4.2497453689575195
wanna,,,,3.016481399536133,4.2497453689575195
watermelon,warren,71,0.0,3.016481399536133,4.2497453689575195
with,,,,3.016481399536133,4.2497453689575195
