,matched_words,matched_scores,words_frequency,time_sec,total_memory_mb
I,,,,2.854715585708618,3.1462936401367188
a,,,,2.854715585708618,3.1462936401367188
an,,,,2.854715585708618,3.1462936401367188
and,,,,2.854715585708618,3.1462936401367188
apple,appeal,91,5.0,2.854715585708618,3.1462936401367188
banana,"{'anna', 'banana'}","{73, 92}",{0.0},2.854715585708618,3.1462936401367188
don't,,,,2.854715585708618,3.1462936401367188
error,"{'errors', 'error', 'terror', 'perro'}","{80, 73}","{0.0, 2.0, 3.0}",2.854715585708618,3.1462936401367188
have,,,,2.854715585708618,3.1462936401367188
hope,,,,2.854715585708618,3.1462936401367188
i,,,,2.854715585708618,3.1462936401367188
if,,,,2.854715585708618,3.1462936401367188
in,,,,2.854715585708618,3.1462936401367188
jerusalem,jerusalem,89,0.0,2.854715585708618,3.1462936401367188
lemon,leone,91,0.0,2.854715585708618,3.1462936401367188
london,london,92,0.0,2.854715585708618,3.1462936401367188
or,,,,2.854715585708618,3.1462936401367188
pear,paper,89,12.0,2.854715585708618,3.1462936401367188
please,"{'please', 'pleased', 'pleasures'}","{88, 92, 86}","{0.0, 1.0}",2.854715585708618,3.1462936401367188
possible,possible,93,17.0,2.854715585708618,3.1462936401367188
wanna,anna,89,0.0,2.854715585708618,3.1462936401367188
watermelon,"{'waterman', 'warren'}","{74, 71}",{0.0},2.854715585708618,3.1462936401367188
with,,,,2.854715585708618,3.1462936401367188
