,matched_words,matched_scores,words_frequency,time_sec
I,,,,0.364591121673584
a,,,,0.364591121673584
an,,,,0.364591121673584
and,,,,0.364591121673584
apple,appeal,91,35.0,0.364591121673584
banana,"{'bannon', 'anna', 'banana'}","{73, 92, 77}",{0.0},0.364591121673584
don't,,,,0.364591121673584
error,error,80,6.0,0.364591121673584
have,,,,0.364591121673584
hope,,,,0.364591121673584
i,,,,0.364591121673584
if,,,,0.364591121673584
lemon,lemon,91,0.0,0.364591121673584
or,,,,0.364591121673584
pear,paper,89,8.0,0.364591121673584
please,"{'please', 'pleasures'}","{88, 92}","{0.0, 1.0}",0.364591121673584
possible,possible,93,32.0,0.364591121673584
wanna,anna,89,0.0,0.364591121673584
watermelon,"{'warren', 'watermelon', 'wartime'}","{67, 95, 71}",{0.0},0.364591121673584
with,,,,0.364591121673584
