,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.642214775085449,5.927282094955444
a,,,,3.642214775085449,5.927282094955444
an,,,,3.642214775085449,5.927282094955444
and,,,,3.642214775085449,5.927282094955444
apple,appeal,91,15.0,3.642214775085449,5.927282094955444
banana,"{'ananda', 'bannau', 'tanana', 'annan'}","{83, 77}",{0.0},3.642214775085449,5.927282094955444
don't,,,,3.642214775085449,5.927282094955444
error,"{'cerro', 'error'}",{80},"{0.0, 3.0}",3.642214775085449,5.927282094955444
have,,,,3.642214775085449,5.927282094955444
hope,,,,3.642214775085449,5.927282094955444
i,,,,3.642214775085449,5.927282094955444
if,,,,3.642214775085449,5.927282094955444
in,,,,3.642214775085449,5.927282094955444
jerusalem,jerusalem,89,0.0,3.642214775085449,5.927282094955444
lemon,lemon,91,0.0,3.642214775085449,5.927282094955444
london,london,92,0.0,3.642214775085449,5.927282094955444
or,,,,3.642214775085449,5.927282094955444
pear,paper,89,8.0,3.642214775085449,5.927282094955444
please,please,92,0.0,3.642214775085449,5.927282094955444
possible,possible,93,27.0,3.642214775085449,5.927282094955444
wanna,,,,3.642214775085449,5.927282094955444
watermelon,warren,71,0.0,3.642214775085449,5.927282094955444
with,,,,3.642214775085449,5.927282094955444
