,matched_words,matched_scores,words_frequency,time_sec,total_memory_mb
I,,,,1.7099692821502686,3.1462936401367188
a,,,,1.7099692821502686,3.1462936401367188
an,,,,1.7099692821502686,3.1462936401367188
and,,,,1.7099692821502686,3.1462936401367188
apple,appeal,91,3.0,1.7099692821502686,3.1462936401367188
banana,"{'bana', 'anynana', 'bannon', 'brannan', 'banana'}","{73, 92, 77, 86}","{0.0, 1.0}",1.7099692821502686,3.1462936401367188
don't,,,,1.7099692821502686,3.1462936401367188
error,"{'errors', 'perron', 'error', 'terror'}","{80, 73}","{0.0, 1.0}",1.7099692821502686,3.1462936401367188
have,,,,1.7099692821502686,3.1462936401367188
hope,,,,1.7099692821502686,3.1462936401367188
i,,,,1.7099692821502686,3.1462936401367188
if,,,,1.7099692821502686,3.1462936401367188
in,,,,1.7099692821502686,3.1462936401367188
jerusalem,"{'jerusalem', 'jeremy', 'jetstream', 'realm'}","{89, 67, 71}",{0.0},1.7099692821502686,3.1462936401367188
lemon,"{'leon', 'lemond', 'lemmon', 'lone'}","{80, 83}","{0.0, 2.0}",1.7099692821502686,3.1462936401367188
london,london,92,0.0,1.7099692821502686,3.1462936401367188
or,,,,1.7099692821502686,3.1462936401367188
pear,paper,89,5.0,1.7099692821502686,3.1462936401367188
please,please,92,2.0,1.7099692821502686,3.1462936401367188
possible,possible,93,12.0,1.7099692821502686,3.1462936401367188
wanna,anna,89,0.0,1.7099692821502686,3.1462936401367188
watermelon,"{'waterman', 'waterloo'}",{74},{0.0},1.7099692821502686,3.1462936401367188
with,,,,1.7099692821502686,3.1462936401367188
