,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.4061479568481445,6.296237468719482
a,,,,3.4061479568481445,6.296237468719482
an,,,,3.4061479568481445,6.296237468719482
and,,,,3.4061479568481445,6.296237468719482
apple,appeal,91,18.0,3.4061479568481445,6.296237468719482
banana,"{'hannan', 'tanana', 'anna'}","{73, 77}",{0.0},3.4061479568481445,6.296237468719482
don't,,,,3.4061479568481445,6.296237468719482
error,error,80,3.0,3.4061479568481445,6.296237468719482
have,,,,3.4061479568481445,6.296237468719482
hope,,,,3.4061479568481445,6.296237468719482
i,,,,3.4061479568481445,6.296237468719482
if,,,,3.4061479568481445,6.296237468719482
in,,,,3.4061479568481445,6.296237468719482
jerusalem,jerusalem,89,0.0,3.4061479568481445,6.296237468719482
lemon,leone,91,0.0,3.4061479568481445,6.296237468719482
london,london,92,0.0,3.4061479568481445,6.296237468719482
or,,,,3.4061479568481445,6.296237468719482
pear,paper,89,5.0,3.4061479568481445,6.296237468719482
please,please,92,1.0,3.4061479568481445,6.296237468719482
possible,possible,93,33.0,3.4061479568481445,6.296237468719482
wanna,anna,89,0.0,3.4061479568481445,6.296237468719482
watermelon,"{'waterloo', 'warren'}","{74, 71}",{0.0},3.4061479568481445,6.296237468719482
with,,,,3.4061479568481445,6.296237468719482
