,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.512967109680176,5.61479640007019
a,,,,3.512967109680176,5.61479640007019
an,,,,3.512967109680176,5.61479640007019
and,,,,3.512967109680176,5.61479640007019
apple,appeal,91,7.0,3.512967109680176,5.61479640007019
banana,"{'annandale', 'brannan', 'anna'}","{73, 75, 86}",{0.0},3.512967109680176,5.61479640007019
don't,,,,3.512967109680176,5.61479640007019
error,"{'errors', 'error', 'terror'}","{80, 73}","{0.0, 1.0, 5.0}",3.512967109680176,5.61479640007019
have,,,,3.512967109680176,5.61479640007019
hope,,,,3.512967109680176,5.61479640007019
i,,,,3.512967109680176,5.61479640007019
if,,,,3.512967109680176,5.61479640007019
in,,,,3.512967109680176,5.61479640007019
jerusalem,jerusalem,89,0.0,3.512967109680176,5.61479640007019
lemon,"{'lemon', 'leone'}",{91},{0.0},3.512967109680176,5.61479640007019
london,london,92,0.0,3.512967109680176,5.61479640007019
or,,,,3.512967109680176,5.61479640007019
pear,paper,89,25.0,3.512967109680176,5.61479640007019
please,please,92,1.0,3.512967109680176,5.61479640007019
possible,possible,93,30.0,3.512967109680176,5.61479640007019
wanna,anna,89,0.0,3.512967109680176,5.61479640007019
watermelon,"{'waterloo', 'warren', 'waterman'}","{74, 71}",{0.0},3.512967109680176,5.61479640007019
with,,,,3.512967109680176,5.61479640007019
