,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.009140968322754,4.341012477874756
a,,,,3.009140968322754,4.341012477874756
an,,,,3.009140968322754,4.341012477874756
and,,,,3.009140968322754,4.341012477874756
apple,appeal,91,20.0,3.009140968322754,4.341012477874756
banana,anna,73,0.0,3.009140968322754,4.341012477874756
don't,,,,3.009140968322754,4.341012477874756
error,"{'errol', 'error'}",{80},"{0.0, 3.0}",3.009140968322754,4.341012477874756
have,,,,3.009140968322754,4.341012477874756
hope,,,,3.009140968322754,4.341012477874756
i,,,,3.009140968322754,4.341012477874756
if,,,,3.009140968322754,4.341012477874756
in,,,,3.009140968322754,4.341012477874756
jerusalem,"{'realm', 'jerusalem'}","{89, 71}","{0.0, 5.0}",3.009140968322754,4.341012477874756
lemon,"{'lone', 'leonie', 'leone'}","{80, 83, 91}","{0.0, 3.0}",3.009140968322754,4.341012477874756
london,london,92,0.0,3.009140968322754,4.341012477874756
or,,,,3.009140968322754,4.341012477874756
pear,paper,89,9.0,3.009140968322754,4.341012477874756
please,please,92,2.0,3.009140968322754,4.341012477874756
possible,possible,93,38.0,3.009140968322754,4.341012477874756
wanna,,,,3.009140968322754,4.341012477874756
watermelon,"{'waterloo', 'warren'}","{74, 71}",{0.0},3.009140968322754,4.341012477874756
with,,,,3.009140968322754,4.341012477874756
