,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.798832893371582,4.416606426239014
a,,,,3.798832893371582,4.416606426239014
an,,,,3.798832893371582,4.416606426239014
and,,,,3.798832893371582,4.416606426239014
apple,,,,3.798832893371582,4.416606426239014
banana,"{'banana', 'annan', 'anna', 'annandale', 'bandanna'}","{73, 75, 80, 83, 92}","{0.0, 1.0}",3.798832893371582,4.416606426239014
don't,,,,3.798832893371582,4.416606426239014
error,error,80,5.0,3.798832893371582,4.416606426239014
have,,,,3.798832893371582,4.416606426239014
hope,,,,3.798832893371582,4.416606426239014
i,,,,3.798832893371582,4.416606426239014
if,,,,3.798832893371582,4.416606426239014
in,,,,3.798832893371582,4.416606426239014
jerusalem,"{'realm', 'jeremy'}","{67, 71}","{0.0, 1.0}",3.798832893371582,4.416606426239014
lemon,"{'lemonade', 'leone', 'lemore'}","{83, 91, 86}",{0.0},3.798832893371582,4.416606426239014
london,london,92,0.0,3.798832893371582,4.416606426239014
or,,,,3.798832893371582,4.416606426239014
pear,paper,89,6.0,3.798832893371582,4.416606426239014
please,please,92,1.0,3.798832893371582,4.416606426239014
possible,possible,93,17.0,3.798832893371582,4.416606426239014
wanna,,,,3.798832893371582,4.416606426239014
watermelon,"{'waterloo', 'warren', 'waterhen'}","{74, 71}",{0.0},3.798832893371582,4.416606426239014
with,,,,3.798832893371582,4.416606426239014
