,matched_words,matched_scores,words_frequency,time_sec
I,,,,0.43467235565185547
a,,,,0.43467235565185547
an,,,,0.43467235565185547
and,,,,0.43467235565185547
apple,appeal,91,5.0,0.43467235565185547
banana,"{'anna', 'banana'}","{73, 92}",{0.0},0.43467235565185547
don't,,,,0.43467235565185547
error,"{'error', 'perro', 'terror', 'errors'}","{80, 73}","{0.0, 2.0, 3.0}",0.43467235565185547
have,,,,0.43467235565185547
hope,,,,0.43467235565185547
i,,,,0.43467235565185547
if,,,,0.43467235565185547
in,,,,0.43467235565185547
jerusalem,jerusalem,89,0.0,0.43467235565185547
lemon,leone,91,0.0,0.43467235565185547
london,london,92,0.0,0.43467235565185547
or,,,,0.43467235565185547
pear,paper,89,12.0,0.43467235565185547
please,"{'please', 'pleased', 'pleasures'}","{88, 92, 86}","{0.0, 1.0}",0.43467235565185547
possible,possible,93,17.0,0.43467235565185547
wanna,anna,89,0.0,0.43467235565185547
watermelon,"{'waterman', 'warren'}","{74, 71}",{0.0},0.43467235565185547
with,,,,0.43467235565185547
