,matched_words,matched_scores,words_frequency,time_sec
I,,,,0.4988222122192383
a,,,,0.4988222122192383
an,,,,0.4988222122192383
and,,,,0.4988222122192383
apple,appeal,91,13.0,0.4988222122192383
banana,"{'hannan', 'ananta', 'banana'}","{92, 77}","{0.0, 1.0}",0.4988222122192383
don't,,,,0.4988222122192383
error,error,80,2.0,0.4988222122192383
have,,,,0.4988222122192383
hope,,,,0.4988222122192383
i,,,,0.4988222122192383
if,,,,0.4988222122192383
in,,,,0.4988222122192383
jerusalem,jerusalem,89,0.0,0.4988222122192383
lemon,"{'lemmon', 'leon', 'lemon', 'leone'}","{80, 83, 91}",{0.0},0.4988222122192383
london,london,92,0.0,0.4988222122192383
or,,,,0.4988222122192383
pear,"{'paper', 'pater', 'pager'}",{89},"{1.0, 12.0}",0.4988222122192383
please,"{'please', 'leases'}",{92},"{0.0, 2.0}",0.4988222122192383
possible,possible,93,28.0,0.4988222122192383
wanna,,,,0.4988222122192383
watermelon,"{'waterloo', 'warren'}","{74, 71}",{0.0},0.4988222122192383
with,,,,0.4988222122192383
