,matched_words,matched_scores,words_frequency,time_sec,total_memory_mb
I,,,,1.7114834785461426,3.1462936401367188
a,,,,1.7114834785461426,3.1462936401367188
an,,,,1.7114834785461426,3.1462936401367188
and,,,,1.7114834785461426,3.1462936401367188
apple,appeal,91,7.0,1.7114834785461426,3.1462936401367188
banana,"{'bandana', 'nana', 'anna', 'banana'}","{73, 92, 86}","{0.0, 1.0}",1.7114834785461426,3.1462936401367188
don't,,,,1.7114834785461426,3.1462936401367188
error,"{'errors', 'error', 'terror'}","{80, 73}","{0.0, 2.0}",1.7114834785461426,3.1462936401367188
have,,,,1.7114834785461426,3.1462936401367188
hope,,,,1.7114834785461426,3.1462936401367188
i,,,,1.7114834785461426,3.1462936401367188
if,,,,1.7114834785461426,3.1462936401367188
in,,,,1.7114834785461426,3.1462936401367188
jerusalem,jerusalem,89,0.0,1.7114834785461426,3.1462936401367188
lemon,"{'leone', 'leon', 'lone'}","{80, 91}","{0.0, 1.0}",1.7114834785461426,3.1462936401367188
london,london,92,0.0,1.7114834785461426,3.1462936401367188
or,,,,1.7114834785461426,3.1462936401367188
pear,paper,89,8.0,1.7114834785461426,3.1462936401367188
please,please,92,0.0,1.7114834785461426,3.1462936401367188
possible,possible,93,44.0,1.7114834785461426,3.1462936401367188
wanna,"{'wannabe', 'anna'}","{89, 83}","{0.0, 1.0}",1.7114834785461426,3.1462936401367188
watermelon,"{'waterloo', 'warren'}","{74, 71}",{0.0},1.7114834785461426,3.1462936401367188
with,,,,1.7114834785461426,3.1462936401367188
