,matched_words,matched_scores,words_frequency,time_sec
I,,,,0.5030660629272461
a,,,,0.5030660629272461
an,,,,0.5030660629272461
and,,,,0.5030660629272461
apple,appeal,91,9.0,0.5030660629272461
banana,"{'lannan', 'bangunan', 'bandanna', 'bananas'}","{80, 77, 86}","{0.0, 1.0, 2.0}",0.5030660629272461
don't,,,,0.5030660629272461
error,"{'error', 'rnrhof', 'rirwof', 'errors'}","{80, 73}","{0.0, 1.0, 3.0}",0.5030660629272461
have,,,,0.5030660629272461
hope,,,,0.5030660629272461
i,,,,0.5030660629272461
if,,,,0.5030660629272461
in,,,,0.5030660629272461
jerusalem,jerusalem,89,0.0,0.5030660629272461
lemon,lemon,91,0.0,0.5030660629272461
london,london,92,0.0,0.5030660629272461
or,,,,0.5030660629272461
pear,paper,89,15.0,0.5030660629272461
please,please,92,1.0,0.5030660629272461
possible,possible,93,29.0,0.5030660629272461
wanna,,,,0.5030660629272461
watermelon,waterloo,74,0.0,0.5030660629272461
with,,,,0.5030660629272461
